2026-09-17 21:59:40 +0530: Memory Usage (421912K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/peripherals/runs/run_2/58-klayout-streamout/peripherals_macro.gds
2026-09-17 21:59:40 +0530: Memory Usage (422072K) : Ruby Version for klayout: 3.3.10
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : Loading database to memory is complete.
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/peripherals/runs/run_2/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : Evaluate switches.
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : tables selected: main
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : deep mode is enabled.
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : FEOL enabled: true
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : BEOL enabled: true
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : OFFGRID enabled: true
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : ANGLE enabled: true
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : PIN enabled: true
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : FORBIDDEN enabled: true
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : RECOMMENDED enabled: false
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : PreCheck DRC enabled: false
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : CONNECTIVITY_RULES enabled: true.
2026-09-17 21:59:40 +0530: Memory Usage (423744K) : Read in polygons from layers.
2026-09-17 21:59:40 +0530: Memory Usage (425232K) : activ_drw has 10955 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425232K) : activ_pin has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425232K) : activ_mask has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425232K) : activ_filler has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425232K) : activ_nofill has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425232K) : activ_opc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425488K) : activ_iopc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425488K) : activ_noqrc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425488K) : biwind_drw has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425488K) : biwind_opc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425488K) : pemwind_drw has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425616K) : gatpoly_drw has 9503 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425616K) : gatpoly_pin has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425616K) : gatpoly_filler has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : gatpoly_nofill has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : gatpoly_opc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : gatpoly_iopc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : gatpoly_noqrc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : cont_drw has 73332 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : cont_opc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : nsd_drw has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : nsd_block has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : metal1_drw has 18054 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : metal1_pin has 8377 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : metal1_mask has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425744K) : metal1_filler has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425872K) : metal1_nofill has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (425872K) : metal1_slit has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426028K) : metal1_text has 8102 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426028K) : metal1_opc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426156K) : metal1_noqrc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426156K) : metal1_res has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426156K) : metal1_iprobe has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426156K) : metal1_diffprb has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426156K) : passiv_drw has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426284K) : passiv_pin has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426284K) : passiv_sbump has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : passiv_pillar has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : passiv_pdl has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : metal2_drw has 11721 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : metal2_pin has 172 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : metal2_mask has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : metal2_filler has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : metal2_nofill has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : metal2_slit has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : metal2_text has 172 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : metal2_opc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426412K) : metal2_noqrc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : metal2_res has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : metal2_iprobe has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : metal2_diffprb has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : baspoly_drw has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : baspoly_pin has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : psd_drw has 5129 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : nldb_drw has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : digibnd_drw has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : via1_drw has 3560 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : backmetal1_drw has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426540K) : backmetal1_pin has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426668K) : backmetal1_mask has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426668K) : backmetal1_filler has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426796K) : backmetal1_nofill has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426796K) : backmetal1_slit has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426924K) : backmetal1_text has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426924K) : backmetal1_opc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (426924K) : backmetal1_noqrc has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (427052K) : backmetal1_res has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (427052K) : backmetal1_iprobe has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (427180K) : backmetal1_diffprb has 0 polygons
2026-09-17 21:59:40 +0530: Memory Usage (427180K) : backpassiv_drw has 0 polygons
