2026-09-15 21:05:41 +0530: Memory Usage (422172K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_1/58-klayout-streamout/picorv32_macro.gds
2026-09-15 21:05:41 +0530: Memory Usage (422172K) : Ruby Version for klayout: 3.3.10
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : Loading database to memory is complete.
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_1/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : Evaluate switches.
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : tables selected: main
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : deep mode is enabled.
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : FEOL enabled: true
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : BEOL enabled: true
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : OFFGRID enabled: true
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : ANGLE enabled: true
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : PIN enabled: true
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : FORBIDDEN enabled: true
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : RECOMMENDED enabled: false
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : PreCheck DRC enabled: false
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : CONNECTIVITY_RULES enabled: true.
2026-09-15 21:05:41 +0530: Memory Usage (431768K) : Read in polygons from layers.
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : activ_drw has 177056 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : activ_pin has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : activ_mask has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : activ_filler has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : activ_nofill has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : activ_opc has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : activ_iopc has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : activ_noqrc has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : biwind_drw has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : biwind_opc has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : pemwind_drw has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : gatpoly_drw has 173277 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : gatpoly_pin has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : gatpoly_filler has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : gatpoly_nofill has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : gatpoly_opc has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : gatpoly_iopc has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : gatpoly_noqrc has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440160K) : cont_drw has 1295005 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440288K) : cont_opc has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440288K) : nsd_drw has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440288K) : nsd_block has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440288K) : metal1_drw has 299185 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440288K) : metal1_pin has 120302 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440288K) : metal1_mask has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440288K) : metal1_filler has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440288K) : metal1_nofill has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440288K) : metal1_slit has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : metal1_text has 118802 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : metal1_opc has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : metal1_noqrc has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : metal1_res has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : metal1_iprobe has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : metal1_diffprb has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : passiv_drw has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : passiv_pin has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : passiv_sbump has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : passiv_pillar has 0 polygons
2026-09-15 21:05:41 +0530: Memory Usage (440428K) : passiv_pdl has 0 polygons
2026-09-15 21:05:42 +0530: Memory Usage (442476K) : metal2_drw has 146473 polygons
2026-09-15 21:05:42 +0530: Memory Usage (442476K) : metal2_pin has 3 polygons
2026-09-15 21:05:42 +0530: Memory Usage (442476K) : metal2_mask has 0 polygons
2026-09-15 21:05:42 +0530: Memory Usage (442476K) : metal2_filler has 0 polygons
2026-09-15 21:05:42 +0530: Memory Usage (442476K) : metal2_nofill has 0 polygons
2026-09-15 21:05:42 +0530: Memory Usage (442476K) : metal2_slit has 0 polygons
2026-09-15 21:05:42 +0530: Memory Usage (442476K) : metal2_text has 3 polygons
2026-09-15 21:05:42 +0530: Memory Usage (442476K) : metal2_opc has 0 polygons
2026-09-15 21:05:42 +0530: Memory Usage (442476K) : metal2_noqrc has 0 polygons
2026-09-15 21:05:42 +0530: Memory Usage (442476K) : metal2_res has 0 polygons
