net,length_um
s_rready[3],51.885µm
s_awaddr[107],51.705µm
s_wstrb[7],51.705µm
s_rdata[120],51.7µm
net236,51.67µm
_0053_,51.53µm
net207,51.51µm
net631,51.48µm
net204,51.34µm
s_rdata[45],51.33µm
s_araddr[72],51.285µm
s_wdata[83],51.165µm
s_rdata[42],51µm
s_araddr[113],50.985µm
net732,50.845µm
s_awaddr[49],50.82µm
net354,50.77µm
s_araddr[100],50.54µm
net4,50.495µm
s_rdata[127],50.435µm
s_wstrb[3],50.435µm
net339,50.39µm
net687,50.37µm
s_araddr[59],50.11µm
net107,50.05µm
s_wdata[90],50.015µm
net610,49.85µm
net325,49.76µm
s_araddr[30],49.535µm
net43,49.34µm
s_wdata[94],49.28µm
s_araddr[2],49.26µm
net617,49.21µm
net774,49.055µm
s_araddr[28],48.945µm
net219,48.79µm
net600,48.685µm
s_araddr[99],48.655µm
net140,48.36µm
s_wdata[121],48.045µm
s_wstrb[1],48.035µm
s_wdata[0],48.01µm
s_wdata[46],47.735µm
net169,47.645µm
s_wdata[127],46.98µm
s_wstrb[15],46.965µm
net44,46.9µm
s_wdata[48],46.84µm
s_wstrb[11],46.715µm
net825,46.595µm
net344,46.51µm
net237,46.38µm
s_wdata[11],46.345µm
s_awaddr[55],46.32µm
s_awaddr[77],46.32µm
net346,46.25µm
net97,46.215µm
s_awaddr[18],46.2µm
net243,46.07µm
net132,46.03µm
net399,45.98µm
net316,45.78µm
s_araddr[107],45.755µm
s_araddr[6],45.66µm
net45,45.615µm
net104,45.61µm
net446,45.57µm
_0254_,45.48µm
s_rdata[25],45.295µm
net547,45.165µm
s_wdata[56],45.045µm
net62,45µm
s_wdata[30],45µm
_0122_,44.835µm
net145,44.72µm
net483,44.7µm
net112,44.695µm
net819,44.67µm
net808,44.64µm
net193,44.59µm
s_araddr[34],44.58µm
s_rdata[70],44.46µm
_0097_,44.41µm
net656,44.38µm
_0226_,44.36µm
s_rdata[84],44.015µm
net467,43.975µm
m_araddr[16],43.845µm
m_awaddr[6],43.74µm
net704,43.685µm
net609,43.68µm
s_awaddr[100],43.655µm
s_araddr[98],43.57µm
s_araddr[124],43.535µm
net391,43.48µm
net116,43.45µm
net33,43.405µm
s_wstrb[6],43.245µm
s_rdata[96],43.175µm
net450,43.15µm
net684,43.14µm
s_awaddr[93],43.14µm
net195,43.125µm
net393,43.1µm
_0145_,43.08µm
m_awaddr[20],42.9µm
net809,42.7µm
s_araddr[76],42.54µm
net36,42.435µm
s_awaddr[36],42.395µm
s_wdata[106],42.285µm
m_rdata[0],42.275µm
net794,42.14µm
net269,42.06µm
net215,41.96µm
s_araddr[38],41.89µm
net160,41.76µm
s_araddr[86],41.65µm
net208,41.64µm
s_wdata[82],41.52µm
s_wdata[104],41.435µm
net129,41.4µm
s_araddr[22],41.28µm
net624,41.23µm
net32,41.205µm
s_awaddr[5],41.1µm
net835,41.09µm
net184,41.05µm
m_wdata[19],40.955µm
