net,length_um
clknet_0_clk_i,1.6327mm
net821,875.395µm
net636,867.2µm
net314,767.38µm
net432,758.165µm
net384,753.095µm
net559,752.915µm
net918,739.94µm
net379,721.18µm
net545,716.025µm
net418,715.98µm
net1142,713.42µm
net934,713.32µm
net1407,712.995µm
_00004_,710.865µm
net557,708.5µm
net1366,704.24µm
net574,703.32µm
net566,698.74µm
net1364,696.2µm
net381,693.155µm
net511,689.255µm
net321,688.02µm
net298,685.785µm
net301,682.42µm
net400,678.195µm
net1588,677.04µm
net515,673.875µm
net512,669.935µm
net312,669.365µm
net424,669.13µm
net819,668.545µm
net297,666.1µm
net1343,665.9µm
net373,665.71µm
net520,665.2µm
net547,663.72µm
net366,660.95µm
net392,659.005µm
net516,654.97µm
net534,652.925µm
net376,652.825µm
net1378,651.61µm
net413,648.31µm
net1377,648.15µm
net1379,647.585µm
net549,647.155µm
net91,646.5µm
net551,645.79µm
net901,645.035µm
net504,642.885µm
net1361,642.22µm
net374,641.07µm
net1564,635.67µm
net302,635.38µm
net315,634.19µm
net540,633.985µm
net572,633.92µm
net1365,633.725µm
net66,631.6µm
net450,630.525µm
net370,630.115µm
net508,628.03µm
net1376,626.66µm
net421,625.29µm
net550,624.5µm
net524,623.735µm
net665,623.115µm
net479,622.255µm
net445,620.075µm
net543,619.26µm
net63,618.08µm
net407,616.665µm
net1589,613.51µm
net317,611.375µm
net449,610.85µm
net387,610.845µm
net544,610.07µm
net65,609.92µm
net1360,609.47µm
net1563,607.525µm
net443,606.975µm
net555,606.75µm
net578,606.11µm
net1371,605.54µm
net1374,605.2µm
net423,605.02µm
net64,604.4µm
net438,604.1µm
net1375,603.85µm
net437,603.57µm
net905,601.63µm
net68,600.715µm
net632,600.71µm
net917,600.56µm
net904,599.845µm
net844,599.725µm
net529,599.2µm
net542,596.92µm
net570,596.225µm
net531,596.195µm
net553,595.835µm
net67,595.15µm
net582,593.85µm
clk_i,591.61µm
net451,590.58µm
net533,590.25µm
net484,589.75µm
net308,588.77µm
net1359,588.715µm
net1372,588.48µm
net1370,588.32µm
net1373,586.65µm
net454,586.335µm
net1369,584.42µm
_02812_,583.78µm
net1363,583.29µm
net377,582.245µm
net433,581.5µm
net398,579.125µm
net541,578.45µm
net431,577.09µm
net425,576.1µm
net1060,576.065µm
net816,575.74µm
net806,574.305µm
net1357,573.65µm
net40,573.01µm
net39,571.68µm
net509,570.86µm
net416,568.84µm
net1368,565.325µm
_02842_,564.2µm
net383,562.77µm
net1362,561.87µm
net304,560.635µm
net838,558.885µm
net41,558.58µm
net1367,558.365µm
net637,558.085µm
net1520,557.94µm
net548,555.36µm
net417,554.635µm
net409,554.425µm
net743,554µm
net367,551.44µm
net483,549.84µm
net526,548.725µm
net1411,545.305µm
net1054,545.285µm
net480,542.845µm
net914,542.69µm
net530,542.18µm
net313,540.915µm
net1380,540.49µm
net1392,536.44µm
_02874_,534.395µm
net581,532.69µm
net436,532.045µm
_00007_,530.445µm
net912,530.23µm
net528,530.14µm
net403,529.74µm
_00001_,529.475µm
net1408,525.465µm
net536,523.785µm
net42,522.86µm
net535,521.855µm
net537,521.165µm
net94,519.79µm
net43,519.385µm
net414,518.145µm
net448,518.11µm
net769,516.595µm
net820,516.55µm
net1153,516.075µm
net521,509.865µm
net404,507.79µm
net415,505.425µm
net44,504.365µm
net513,502.425µm
net850,500.91µm
net1399,496.325µm
net410,495.26µm
net382,493.7µm
net429,491.485µm
net1405,490.39µm
net1410,488.83µm
net527,488.785µm
net375,488.31µm
net906,485.16µm
net693,477.525µm
net927,475.735µm
net568,473.845µm
net406,472.62µm
net576,472.6µm
net299,472.53µm
net1354,472.53µm
net266,472.105µm
net1355,469.56µm
net1358,468.81µm
net1152,464.935µm
net319,464.515µm
net316,463.3µm
net324,462.955µm
net889,460.755µm
net420,460.04µm
net562,459.83µm
net915,459.39µm
net719,458.73µm
net1390,457.815µm
_02988_,457.545µm
net1248,452.38µm
net55,450.93µm
_05151_,449.71µm
net1002,448.11µm
net505,446.02µm
_02807_,445.72µm
net412,445.425µm
_00000_,442.17µm
net27,442.065µm
net564,441.87µm
_05073_,440.145µm
net1412,439.085µm
_02848_,438.85µm
net922,438.135µm
net740,437.08µm
net1281,435.365µm
u_picorv32.picorv32_core.cpu_state\[3\],435.115µm
net539,434.87µm
net907,434.82µm
net908,433.72µm
net1404,432.99µm
net809,432.765µm
_02984_,432.025µm
net396,431.235µm
net1266,427.775µm
net1562,427.75µm
net849,427.66µm
net397,427.48µm
_00006_,426.735µm
net924,426.635µm
net532,426.475µm
u_picorv32.picorv32_core.decoded_imm\[14\],425.88µm
net1393,425.775µm
net949,424.04µm
net53,421.88µm
net900,421.52µm
net772,420.405µm
net19,419.935µm
u_picorv32.picorv32_core.decoded_imm\[30\],419.505µm
net395,419.45µm
net49,419.22µm
net1545,418.15µm
net1429,417.715µm
net422,417.18µm
net1046,416.625µm
_02996_,416.565µm
net1048,416.2µm
net46,415.29µm
_01588_,413.355µm
net1278,412.56µm
net1037,412.265µm
net599,411.435µm
net48,410.96µm
net18,410.88µm
_02691_,410.41µm
net507,409.85µm
net519,409.07µm
u_picorv32.picorv32_core.reg_pc\[11\],408.97µm
net428,408.38µm
net1356,408.375µm
net858,407.525µm
net1078,407.12µm
net797,406.47µm
_04393_,406.27µm
net442,406.11µm
net427,405.78µm
net1388,405.38µm
net919,404.43µm
net1351,404.23µm
net1353,402.86µm
net911,402.715µm
net60,401.715µm
_00009_,401.52µm
net843,401.445µm
net931,400.91µm
u_picorv32.pcpi_rs2\[23\],400.145µm
net1245,399.685µm
net1396,399.64µm
net307,399.325µm
net579,398.485µm
net1154,397.33µm
net1460,397.06µm
net1352,396.31µm
_04969_,396.1µm
net58,395.29µm
net1402,395.2µm
net1587,394.905µm
net630,394.44µm
net1081,394.155µm
net1395,393.445µm
net1230,393.1µm
net634,393.09µm
net897,392.12µm
net567,391.65µm
_05228_,391.64µm
net24,391.445µm
net22,390.025µm
_03020_,389.975µm
net434,389.925µm
_04996_,389.59µm
net913,389.085µm
net705,388.945µm
_05138_,388.09µm
net1224,387.63µm
net388,387.02µm
u_picorv32.picorv32_core.decoded_imm\[7\],386.295µm
net1290,384.92µm
_00003_,384.815µm
_05086_,384.67µm
u_picorv32.picorv32_core.decoded_imm\[22\],384.13µm
_02981_,383.415µm
u_picorv32.picorv32_core.decoded_imm\[28\],382.845µm
net430,382.795µm
net825,382.435µm
u_picorv32.picorv32_core.mem_rdata_q\[14\],382.425µm
net496,382.035µm
net1263,381.79µm
_01657_,380.99µm
net698,380.705µm
net440,380.4µm
net56,380.15µm
_02932_,379.895µm
net1387,379.725µm
net1260,379.12µm
_05177_,378.48µm
net633,378.335µm
net1384,377.72µm
net577,377.315µm
net389,376.865µm
_04982_,375.24µm
net446,374.63µm
net817,373.235µm
net575,373.155µm
u_picorv32.picorv32_core.decoded_imm\[20\],371.23µm
net61,370.04µm
net523,369.735µm
_00005_,369.12µm
net16,369.02µm
u_picorv32.pcpi_rs2\[22\],368.445µm
net866,368.335µm
net394,367.57µm
net261,367.11µm
net841,364.61µm
net14,364.585µm
net305,364.545µm
net518,364.525µm
net1403,363.37µm
net853,363.255µm
net17,362.43µm
net455,362.36µm
_01618_,361.69µm
net560,361.45µm
net1557,361.17µm
net807,360.45µm
net102,359.95µm
u_picorv32.pcpi_rs2\[20\],359.48µm
u_picorv32.picorv32_core.decoded_imm\[23\],359.465µm
_02852_,359.35µm
net963,358.93µm
net569,358.62µm
u_picorv32.picorv32_core.decoded_imm\[11\],358.435µm
net45,358.16µm
net322,357.17µm
net25,356.955µm
u_picorv32.picorv32_core.decoded_imm_j\[11\],356.675µm
net1580,355.785µm
net1287,355.375µm
net21,354.685µm
