net,length_um
clknet_0_clk_i,537.62µm
net158,360.53µm
net149,275.58µm
clk_i,240.925µm
net157,229.93µm
net145,228.895µm
net75,204.64µm
net98,198.39µm
net81,196.115µm
net84,196.035µm
net83,190.36µm
net140,185.84µm
net148,180.665µm
net153,176.005µm
net144,175.705µm
net110,172.275µm
net116,169.09µm
net107,167.89µm
net95,167.15µm
net152,164.145µm
net147,163.14µm
net88,161.89µm
net129,159.845µm
net142,158.355µm
net93,157.635µm
net91,156.335µm
net96,154.525µm
net150,154.315µm
_0272_,151.95µm
net111,148.795µm
net156,146.28µm
net141,145.225µm
net74,145.2µm
net134,142.545µm
net114,141.165µm
net151,139.445µm
net137,136.91µm
net106,135.26µm
net121,135.24µm
net131,134.915µm
_0291_,133.67µm
net127,133.2µm
u_boot_ctrl.state\[4\],131.17µm
clknet_5_5__leaf_clk_i,130.855µm
net89,129.36µm
u_boot_ctrl.word_cnt\[24\],128.72µm
net120,128.475µm
_0282_,125.4µm
net97,123.43µm
net14,123.07µm
net76,121.965µm
net155,121.78µm
net154,121.625µm
_0210_,119µm
net86,117.87µm
net101,117.435µm
net136,117.355µm
net71,117.345µm
net138,116.96µm
_0003_,116.72µm
u_boot_ctrl.state\[0\],116.41µm
net135,114.825µm
net125,114.595µm
clknet_5_22__leaf_clk_i,113.795µm
net146,112.99µm
spi_done,111.38µm
net16,109.7µm
u_boot_ctrl.word_cnt\[9\],109.075µm
clknet_5_28__leaf_clk_i,108.28µm
net102,107.635µm
clknet_5_18__leaf_clk_i,107.31µm
net15,105.91µm
_0510_,105.565µm
net17,104.95µm
net112,104.95µm
clknet_5_19__leaf_clk_i,104.55µm
net139,104.405µm
net108,103.435µm
net99,103.075µm
clknet_5_24__leaf_clk_i,102.12µm
clknet_5_31__leaf_clk_i,101.405µm
u_boot_ctrl.word_cnt\[28\],100.545µm
net115,98.38µm
_0185_,96.61µm
u_boot_ctrl.word_cnt\[17\],96.27µm
net105,95.7µm
clknet_5_25__leaf_clk_i,95.08µm
u_boot_ctrl.word_cnt\[16\],94.235µm
clknet_5_16__leaf_clk_i,94.22µm
clknet_5_29__leaf_clk_i,94.04µm
clknet_5_12__leaf_clk_i,93.165µm
net128,92.065µm
net109,91.705µm
net143,91.515µm
clknet_5_13__leaf_clk_i,91.235µm
_0187_,90.98µm
u_boot_ctrl.word_cnt\[5\],90.72µm
u_boot_ctrl.word_cnt\[8\],90.26µm
clknet_5_6__leaf_clk_i,88.595µm
_0309_,88.44µm
clknet_5_2__leaf_clk_i,88.375µm
clknet_5_27__leaf_clk_i,88.29µm
clknet_5_4__leaf_clk_i,87.71µm
net2,86.53µm
clknet_5_23__leaf_clk_i,86.33µm
net130,85.28µm
clknet_5_0__leaf_clk_i,85.185µm
net124,84.38µm
u_boot_ctrl.word_cnt\[14\],83.975µm
clknet_5_26__leaf_clk_i,83.215µm
net118,82.99µm
net100,82.94µm
net77,82.71µm
_0184_,82.57µm
net79,81.875µm
u_boot_ctrl.word_cnt\[13\],81.59µm
net85,81.59µm
clknet_5_8__leaf_clk_i,81.515µm
net117,80.28µm
_0298_,79.695µm
net122,78.945µm
net104,77.515µm
clknet_5_7__leaf_clk_i,76.935µm
net80,76.835µm
net45,76.63µm
net94,76.47µm
net113,76.125µm
u_boot_ctrl.word_cnt\[6\],76.01µm
_0311_,74.915µm
clknet_5_20__leaf_clk_i,74.91µm
net126,74.785µm
net11,73.81µm
net78,73.75µm
_0211_,73.69µm
clknet_5_3__leaf_clk_i,73.44µm
_0475_,72.22µm
net92,72.045µm
clknet_5_1__leaf_clk_i,71.205µm
_0480_,70.14µm
u_boot_ctrl.word_cnt\[10\],69.845µm
_0208_,69.375µm
net68,68.89µm
_0215_,68.635µm
net20,68.12µm
net69,67.29µm
clknet_5_10__leaf_clk_i,66.885µm
net18,66.8µm
u_boot_ctrl.word_cnt\[25\],66.67µm
clknet_5_15__leaf_clk_i,66.39µm
_0212_,66.37µm
_0273_,66.095µm
net72,65.53µm
clknet_5_30__leaf_clk_i,65.04µm
u_boot_ctrl.word_cnt\[7\],64.89µm
_0334_,63.84µm
_0345_,63.7µm
u_boot_ctrl.byte_cnt\[0\],63.255µm
net119,63.08µm
u_boot_ctrl.word_cnt\[4\],62.795µm
net132,62.08µm
net34,62.05µm
clknet_5_9__leaf_clk_i,61.25µm
net90,61.1µm
net123,60.98µm
_0179_,60.44µm
u_boot_ctrl.word_cnt\[1\],60.255µm
clknet_5_21__leaf_clk_i,60.16µm
u_boot_ctrl.state\[1\],59.115µm
net133,58.485µm
clknet_5_14__leaf_clk_i,58.04µm
net65,57.845µm
net67,57.19µm
_0312_,56.83µm
net87,55.355µm
u_spi.bit_cnt\[1\],55.23µm
net64,55.1µm
u_spi.div_cnt\[0\],54.9µm
_0476_,53.84µm
u_boot_ctrl.word_cnt\[20\],53.35µm
clknet_5_17__leaf_clk_i,53.265µm
spi_rx\[1\],53.135µm
net42,52.735µm
u_boot_ctrl.word_cnt\[2\],52.28µm
net33,52.04µm
_0336_,51.93µm
clknet_5_11__leaf_clk_i,50.82µm
_0194_,50.04µm
_0216_,49.93µm
u_boot_ctrl.word_cnt\[11\],49.35µm
u_boot_ctrl.word_asm\[1\],49.22µm
u_boot_ctrl.word_cnt\[3\],49.15µm
_0314_,48.85µm
_0313_,48.74µm
net56,48.74µm
net60,48.415µm
u_boot_ctrl.state\[7\],48.105µm
net29,47.89µm
u_boot_ctrl.word_cnt\[18\],47.71µm
_0190_,46.885µm
clknet_4_8_0_clk_i,46.5µm
u_boot_ctrl.word_cnt\[21\],46.33µm
_0322_,46.15µm
clknet_4_14_0_clk_i,45.98µm
_0192_,45.905µm
net59,44.95µm
u_boot_ctrl.word_cnt\[15\],44.94µm
u_boot_ctrl.word_cnt\[22\],44.69µm
_0276_,44.52µm
_0182_,44.1µm
u_spi.bit_cnt\[0\],43.965µm
spi_tx\[0\],42.98µm
u_boot_ctrl.state\[2\],42.685µm
u_boot_ctrl.word_cnt\[27\],42.52µm
net61,42.43µm
clknet_4_15_0_clk_i,42.25µm
_0176_,41.83µm
clknet_4_1_0_clk_i,41.82µm
u_boot_ctrl.word_asm\[6\],41.78µm
u_boot_ctrl.word_cnt\[26\],41.44µm
net51,40.56µm
_0308_,40.33µm
clknet_4_3_0_clk_i,40.225µm
u_boot_ctrl.word_cnt\[19\],39.965µm
_0203_,39.91µm
clknet_4_0_0_clk_i,39.62µm
_0207_,38.95µm
u_boot_ctrl.byte_cnt\[1\],38.32µm
net30,38.05µm
_0204_,37.87µm
spi_rx\[0\],37.83µm
clknet_4_12_0_clk_i,37.8µm
u_boot_ctrl.word_asm\[7\],37.775µm
_0317_,37.39µm
net19,37.38µm
u_boot_ctrl.word_cnt\[23\],37.36µm
clknet_4_6_0_clk_i,37.345µm
net57,37.03µm
_0193_,37.02µm
_0330_,36.9µm
_0337_,36.625µm
u_boot_ctrl.state\[3\],36.43µm
clknet_4_2_0_clk_i,36.37µm
u_boot_ctrl.word_asm\[12\],36.125µm
clknet_4_9_0_clk_i,35.76µm
clknet_4_4_0_clk_i,34.69µm
spi_start,34.565µm
_0186_,34.545µm
u_boot_ctrl.word_asm\[13\],34.245µm
net3,34.04µm
u_boot_ctrl.word_asm\[11\],34.015µm
net73,33.44µm
u_boot_ctrl.word_cnt\[31\],33.31µm
_0177_,33.01µm
net38,32.84µm
clknet_4_13_0_clk_i,32.76µm
clknet_4_11_0_clk_i,32.63µm
clknet_4_10_0_clk_i,32.4µm
net31,32.23µm
spi_rx\[2\],31.91µm
clknet_4_7_0_clk_i,31.86µm
clknet_4_5_0_clk_i,31.645µm
_0275_,31.64µm
_0479_,31.63µm
net6,31.45µm
_0327_,31.44µm
_0183_,31.39µm
u_boot_ctrl.word_cnt\[29\],31.315µm
net82,30.91µm
net32,30.79µm
_0181_,30.37µm
_0206_,30.31µm
net25,30.19µm
_0173_,29.27µm
net48,28.63µm
_0290_,28.45µm
_0302_,28.39µm
_0294_,28.035µm
spi_rx\[5\],28.015µm
net21,27.47µm
net53,27.07µm
u_boot_ctrl.word_cnt\[0\],26.89µm
net54,26.78µm
_0285_,26.655µm
u_spi.div_cnt\[2\],25.795µm
_0205_,25.58µm
_0481_,25.47µm
_0316_,25.295µm
_0198_,25.08µm
net37,24.775µm
net49,24.31µm
net103,24.295µm
_0354_,24.165µm
_0172_,23.89µm
_0343_,23.82µm
net47,23.77µm
net52,23.77µm
_0297_,23.73µm
u_spi.div_cnt\[1\],23.5µm
u_spi.tx_shift\[2\],23.34µm
net8,23.23µm
net5,23.11µm
spi_rx\[3\],22.84µm
u_boot_ctrl.word_asm\[15\],22.835µm
u_spi.bit_cnt\[2\],22.66µm
u_spi.tx_shift\[3\],22.375µm
