spi_rx\[1\],45.67µm
_0194_,45.605µm
_0276_,45.265µm
u_boot_ctrl.word_cnt\[19\],45.08µm
net59,44.95µm
u_boot_ctrl.word_cnt\[15\],44.94µm
_0182_,44.76µm
_0322_,44.67µm
spi_tx\[0\],42.98µm
net61,42.8µm
u_boot_ctrl.state\[2\],42.685µm
u_boot_ctrl.word_cnt\[27\],42.52µm
u_boot_ctrl.word_cnt\[21\],42.39µm
clknet_4_15_0_clk_i,42.01µm
_0176_,41.83µm
u_boot_ctrl.word_asm\[6\],41.78µm
u_boot_ctrl.word_cnt\[26\],41.65µm
_0308_,41.49µm
clknet_4_3_0_clk_i,41.4µm
_0193_,41.15µm
clknet_4_8_0_clk_i,40.74µm
net51,40.56µm
_0190_,40.43µm
_0203_,39.91µm
clknet_4_14_0_clk_i,39.8µm
net57,39.55µm
clknet_4_0_0_clk_i,39.12µm
_0207_,38.95µm
clknet_4_9_0_clk_i,38.89µm
net30,38.05µm
u_boot_ctrl.byte_cnt\[1\],37.95µm
_0204_,37.87µm
spi_rx\[0\],37.83µm
_0317_,37.39µm
net19,37.38µm
_0186_,37.16µm
clknet_4_10_0_clk_i,37.02µm
_0337_,36.625µm
u_boot_ctrl.state\[3\],36.525µm
_0330_,35.94µm
clknet_4_7_0_clk_i,35.41µm
clknet_4_13_0_clk_i,35.28µm
spi_start,35.16µm
_0275_,35.005µm
u_boot_ctrl.word_asm\[11\],34.71µm
clknet_4_5_0_clk_i,34.29µm
u_boot_ctrl.word_asm\[13\],34.245µm
u_boot_ctrl.word_cnt\[23\],34.135µm
net3,34.04µm
u_boot_ctrl.word_asm\[7\],34.04µm
net73,33.86µm
net31,33.67µm
u_boot_ctrl.word_cnt\[31\],33.31µm
net38,32.84µm
_0177_,31.885µm
net82,31.77µm
_0479_,31.63µm
net6,31.45µm
_0183_,31.39µm
u_boot_ctrl.word_cnt\[29\],31.315µm
_0327_,31.02µm
clknet_4_6_0_clk_i,30.84µm
clknet_4_1_0_clk_i,30.8µm
net32,30.79µm
clknet_4_11_0_clk_i,30.66µm
_0181_,30.37µm
_0206_,30.31µm
net25,30.19µm
clknet_4_2_0_clk_i,29.89µm
spi_rx\[2\],29.305µm
_0173_,29.27µm
clknet_4_4_0_clk_i,28.93µm
u_boot_ctrl.word_asm\[18\],28.76µm
net48,28.63µm
_0294_,28.6µm
_0290_,28.45µm
_0302_,28.39µm
spi_rx\[5\],27.97µm
u_boot_ctrl.word_asm\[12\],27.835µm
net21,27.47µm
u_spi.div_cnt\[1\],26.98µm
u_boot_ctrl.word_cnt\[0\],26.89µm
_0285_,26.745µm
_0481_,26.43µm
u_spi.div_cnt\[2\],26.38µm
net54,26.17µm
clknet_4_12_0_clk_i,25.69µm
_0205_,25.58µm
_0316_,25.295µm
net53,25.15µm
_0198_,25.08µm
net37,24.775µm
net55,24.525µm
net49,24.31µm
_0297_,24.27µm
net103,24.25µm
_0354_,24.165µm
_0172_,23.89µm
_0343_,23.82µm
net47,23.77µm
net52,23.77µm
u_boot_ctrl.word_asm\[15\],23.65µm
u_spi.tx_shift\[2\],23.34µm
net8,23.23µm
net5,23.11µm
spi_rx\[3\],22.81µm
_0209_,22.75µm
