2026-09-15 23:16:06 +0530: Memory Usage (423192K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_3/58-klayout-streamout/picorv32_macro.gds
2026-09-15 23:16:06 +0530: Memory Usage (423192K) : Ruby Version for klayout: 3.3.10
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : Loading database to memory is complete.
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_3/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : Evaluate switches.
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : tables selected: main
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : deep mode is enabled.
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : FEOL enabled: true
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : BEOL enabled: true
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : OFFGRID enabled: true
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : ANGLE enabled: true
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : PIN enabled: true
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : FORBIDDEN enabled: true
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : RECOMMENDED enabled: false
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : PreCheck DRC enabled: false
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : CONNECTIVITY_RULES enabled: true.
2026-09-15 23:16:06 +0530: Memory Usage (432660K) : Read in polygons from layers.
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : activ_drw has 177861 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : activ_pin has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : activ_mask has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : activ_filler has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : activ_nofill has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : activ_opc has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : activ_iopc has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : activ_noqrc has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : biwind_drw has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : biwind_opc has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : pemwind_drw has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : gatpoly_drw has 173539 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : gatpoly_pin has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : gatpoly_filler has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439760K) : gatpoly_nofill has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439888K) : gatpoly_opc has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439888K) : gatpoly_iopc has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439888K) : gatpoly_noqrc has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439888K) : cont_drw has 1298213 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439888K) : cont_opc has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (439888K) : nsd_drw has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440016K) : nsd_block has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_drw has 300514 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_pin has 120964 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_mask has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_filler has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_nofill has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_slit has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_text has 119498 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_opc has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_noqrc has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_res has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_iprobe has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : metal1_diffprb has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : passiv_drw has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : passiv_pin has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : passiv_sbump has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : passiv_pillar has 0 polygons
2026-09-15 23:16:06 +0530: Memory Usage (440172K) : passiv_pdl has 0 polygons
