Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_174_1383,VDD,Metal1,669.8400,676.6200,1.199597
FILLER_174_1379,VDD,Metal1,668.6510,676.0230,1.199597
FILLER_174_1374,VDD,Metal1,665.5200,676.6200,1.199612
FILLER_174_1367,VDD,Metal1,663.6090,676.0210,1.199613
FILLER_174_1350,VDD,Metal1,654.7310,676.0230,1.199667
FILLER_174_1343,VDD,Metal1,652.0890,676.0210,1.199671
FILLER_174_1332,VDD,Metal1,646.8090,676.0210,1.199707
FILLER_174_1325,VDD,Metal1,643.4490,676.0210,1.199717
FILLER_174_1314,VDD,Metal1,638.1690,676.0210,1.199778
FILLER_174_1307,VDD,Metal1,634.8090,676.0210,1.199791
FILLER_174_1296,VDD,Metal1,629.5290,676.0210,1.199877
FILLER_174_1289,VDD,Metal1,626.1690,676.0210,1.199895
FILLER_174_1278,VDD,Metal1,620.8890,676.0210,1.199898
FILLER_174_1271,VDD,Metal1,617.5290,676.0210,1.199881
FILLER_174_1260,VDD,Metal1,612.2490,676.0210,1.199803
FILLER_174_1253,VDD,Metal1,608.8890,676.0210,1.199791
FILLER_174_1248,VDD,Metal1,605.0400,676.6200,1.199710
FILLER_174_1246,VDD,Metal1,604.3200,676.6200,1.199710
FILLER_174_1239,VDD,Metal1,602.1690,676.0210,1.199709
FILLER_174_1229,VDD,Metal1,596.1600,676.6200,1.199639
FILLER_174_1225,VDD,Metal1,594.7310,676.0230,1.199632
FILLER_174_1218,VDD,Metal1,592.0890,676.0210,1.199630
FILLER_174_1208,VDD,Metal1,586.0800,676.6200,1.199611
FILLER_174_1201,VDD,Metal1,583.9290,676.0210,1.199611
FILLER_174_1181,VDD,Metal1,574.3290,676.0210,1.199659
FILLER_174_1170,VDD,Metal1,569.0490,676.0210,1.199713
FILLER_174_1163,VDD,Metal1,565.6890,676.0210,1.199725
FILLER_174_1152,VDD,Metal1,560.4090,676.0210,1.199803
FILLER_174_1145,VDD,Metal1,557.0490,676.0210,1.199820
FILLER_174_1134,VDD,Metal1,551.7690,676.0210,1.199921
FILLER_174_1127,VDD,Metal1,548.4090,676.0210,1.199942
FILLER_174_1116,VDD,Metal1,543.1290,676.0210,1.199845
FILLER_174_1109,VDD,Metal1,539.7690,676.0210,1.199829
FILLER_174_1103,VDD,Metal1,535.6800,676.6200,1.199714
FILLER_174_1099,VDD,Metal1,534.2510,676.0230,1.199686
FILLER_174_1092,VDD,Metal1,531.6090,676.0210,1.199674
FILLER_174_1083,VDD,Metal1,525.8400,676.6200,1.199532
FILLER_174_1079,VDD,Metal1,524.6510,676.0230,1.199509
FILLER_174_1070,VDD,Metal1,519.6000,676.6200,1.199442
FILLER_174_1062,VDD,Metal1,516.4910,676.0230,1.199442
FILLER_174_1055,VDD,Metal1,513.8490,676.0210,1.199442
FILLER_174_1049,VDD,Metal1,509.7600,676.6200,1.199459
FILLER_174_1044,VDD,Metal1,507.1200,676.6200,1.199464
FILLER_174_1037,VDD,Metal1,505.2090,676.0210,1.199464
FILLER_174_1032,VDD,Metal1,501.3600,676.6200,1.199486
FILLER_174_1028,VDD,Metal1,500.1710,676.0230,1.199495
FILLER_174_1023,VDD,Metal1,497.0400,676.6200,1.199523
FILLER_174_1019,VDD,Metal1,495.8510,676.0230,1.199531
FILLER_174_1013,VDD,Metal1,492.4800,676.6200,1.199576
FILLER_174_1009,VDD,Metal1,491.0510,676.0230,1.199589
FILLER_174_991,VDD,Metal1,481.6800,676.6200,1.199793
FILLER_174_989,VDD,Metal1,480.9600,676.6200,1.199793
FILLER_174_953,VDD,Metal1,463.4400,676.6200,1.199649
FILLER_174_949,VDD,Metal1,462.2510,676.0230,1.199620
FILLER_174_931,VDD,Metal1,452.8800,676.6200,1.199416
FILLER_174_929,VDD,Metal1,452.1600,676.6200,1.199416
FILLER_174_923,VDD,Metal1,449.2800,676.6200,1.199380
FILLER_174_918,VDD,Metal1,446.6400,676.6200,1.199372
FILLER_174_911,VDD,Metal1,444.7290,676.0210,1.199372
FILLER_174_905,VDD,Metal1,440.6400,676.6200,1.199361
FILLER_174_901,VDD,Metal1,439.2110,676.0230,1.199362
FILLER_174_894,VDD,Metal1,436.5690,676.0210,1.199362
FILLER_174_882,VDD,Metal1,430.0910,676.0230,1.199402
FILLER_174_875,VDD,Metal1,427.4490,676.0210,1.199406
FILLER_174_869,VDD,Metal1,423.3600,676.6200,1.199493
FILLER_174_864,VDD,Metal1,420.7200,676.6200,1.199510
FILLER_174_857,VDD,Metal1,418.8090,676.0210,1.199512
FILLER_174_851,VDD,Metal1,414.7200,676.6200,1.199601
FILLER_174_847,VDD,Metal1,413.2910,676.0230,1.199626
FILLER_174_839,VDD,Metal1,409.4510,676.0230,1.199716
FILLER_174_828,VDD,Metal1,404.8890,676.0210,1.199793
FILLER_174_821,VDD,Metal1,401.5290,676.0210,1.199809
FILLER_174_815,VDD,Metal1,397.4400,676.6200,1.199949
FILLER_174_811,VDD,Metal1,396.0110,676.0230,1.199919
FILLER_174_803,VDD,Metal1,392.1710,676.0230,1.199816
FILLER_174_795,VDD,Metal1,388.3310,676.0230,1.199727
FILLER_174_789,VDD,Metal1,384.9600,676.6200,1.199648
FILLER_174_785,VDD,Metal1,383.5310,676.0230,1.199627
FILLER_174_780,VDD,Metal1,380.4000,676.6200,1.199545
FILLER_174_778,VDD,Metal1,379.6800,676.6200,1.199545
FILLER_174_771,VDD,Metal1,377.5290,676.0210,1.199544
FILLER_174_756,VDD,Metal1,370.3290,676.0210,1.199472
FILLER_174_749,VDD,Metal1,366.9690,676.0210,1.199468
FILLER_174_743,VDD,Metal1,362.8800,676.6200,1.199456
FILLER_174_736,VDD,Metal1,360.7290,676.0210,1.199456
FILLER_174_731,VDD,Metal1,356.8800,676.6200,1.199458
FILLER_174_726,VDD,Metal1,354.4800,676.6200,1.199485
FILLER_174_724,VDD,Metal1,353.7600,676.6200,1.199485
FILLER_174_717,VDD,Metal1,351.6090,676.0210,1.199486
FILLER_174_705,VDD,Metal1,345.1310,676.0230,1.199556
FILLER_174_682,VDD,Metal1,333.3600,676.6200,1.199733
FILLER_174_677,VDD,Metal1,330.9600,676.6200,1.199808
FILLER_174_666,VDD,Metal1,327.1290,676.0210,1.199865
FILLER_174_659,VDD,Metal1,323.7690,676.0210,1.199887
FILLER_174_648,VDD,Metal1,318.4890,676.0210,1.199945
FILLER_174_641,VDD,Metal1,315.1290,676.0210,1.199937
FILLER_174_630,VDD,Metal1,309.8490,676.0210,1.199898
FILLER_174_623,VDD,Metal1,306.4890,676.0210,1.199890
FILLER_174_612,VDD,Metal1,301.2090,676.0210,1.199851
FILLER_174_605,VDD,Metal1,297.8490,676.0210,1.199843
FILLER_174_594,VDD,Metal1,292.5690,676.0210,1.199808
FILLER_174_587,VDD,Metal1,289.2090,676.0210,1.199802
FILLER_174_576,VDD,Metal1,283.9290,676.0210,1.199785
FILLER_174_569,VDD,Metal1,280.5690,676.0210,1.199785
FILLER_174_558,VDD,Metal1,275.2890,676.0210,1.199792
FILLER_174_551,VDD,Metal1,271.9290,676.0210,1.199795
FILLER_174_540,VDD,Metal1,266.6490,676.0210,1.199824
FILLER_174_533,VDD,Metal1,263.2890,676.0210,1.199831
FILLER_174_522,VDD,Metal1,258.0090,676.0210,1.199875
FILLER_174_515,VDD,Metal1,254.6490,676.0210,1.199885
FILLER_174_504,VDD,Metal1,249.3690,676.0210,1.199945
FILLER_174_497,VDD,Metal1,246.0090,676.0210,1.199958
FILLER_174_486,VDD,Metal1,240.7290,676.0210,1.199876
FILLER_174_479,VDD,Metal1,237.3690,676.0210,1.199862
FILLER_174_468,VDD,Metal1,232.0890,676.0210,1.199796
FILLER_174_461,VDD,Metal1,228.7290,676.0210,1.199786
FILLER_174_450,VDD,Metal1,223.4490,676.0210,1.199735
FILLER_174_443,VDD,Metal1,220.0890,676.0210,1.199727
FILLER_174_432,VDD,Metal1,214.8090,676.0210,1.199693
FILLER_174_425,VDD,Metal1,211.4490,676.0210,1.199688
FILLER_174_414,VDD,Metal1,206.1690,676.0210,1.199669
FILLER_174_407,VDD,Metal1,202.8090,676.0210,1.199667
FILLER_174_396,VDD,Metal1,197.5290,676.0210,1.199667
FILLER_174_389,VDD,Metal1,194.1690,676.0210,1.199669
FILLER_174_378,VDD,Metal1,188.8890,676.0210,1.199693
FILLER_174_371,VDD,Metal1,185.5290,676.0210,1.199700
FILLER_174_365,VDD,Metal1,181.4400,676.6200,1.199768
FILLER_174_361,VDD,Metal1,180.0110,676.0230,1.199787
FILLER_174_346,VDD,Metal1,172.3200,676.6200,1.199934
FILLER_174_342,VDD,Metal1,170.8910,676.0230,1.199962
FILLER_174_335,VDD,Metal1,168.2490,676.0210,1.199953
FILLER_174_324,VDD,Metal1,162.9690,676.0210,1.199896
FILLER_174_317,VDD,Metal1,159.6090,676.0210,1.199885
FILLER_174_306,VDD,Metal1,154.3290,676.0210,1.199837
FILLER_174_299,VDD,Metal1,150.9690,676.0210,1.199829
FILLER_174_288,VDD,Metal1,145.6890,676.0210,1.199799
FILLER_174_281,VDD,Metal1,142.3290,676.0210,1.199796
FILLER_174_270,VDD,Metal1,137.0490,676.0210,1.199785
FILLER_174_263,VDD,Metal1,133.6890,676.0210,1.199784
FILLER_174_252,VDD,Metal1,128.4090,676.0210,1.199786
FILLER_174_245,VDD,Metal1,125.0490,676.0210,1.199787
FILLER_174_234,VDD,Metal1,119.7690,676.0210,1.199801
FILLER_174_227,VDD,Metal1,116.4090,676.0210,1.199804
FILLER_174_216,VDD,Metal1,111.1290,676.0210,1.199833
FILLER_174_209,VDD,Metal1,107.7690,676.0210,1.199841
FILLER_174_198,VDD,Metal1,102.4890,676.0210,1.199885
FILLER_174_191,VDD,Metal1,99.1290,676.0210,1.199895
FILLER_174_180,VDD,Metal1,93.8490,676.0210,1.199956
FILLER_174_173,VDD,Metal1,90.4890,676.0210,1.199943
FILLER_174_162,VDD,Metal1,85.2090,676.0210,1.199886
FILLER_174_155,VDD,Metal1,81.8490,676.0210,1.199877
FILLER_174_144,VDD,Metal1,76.5690,676.0210,1.199838
FILLER_174_137,VDD,Metal1,73.2090,676.0210,1.199832
FILLER_174_126,VDD,Metal1,67.9290,676.0210,1.199813
FILLER_174_119,VDD,Metal1,64.5690,676.0210,1.199812
FILLER_174_108,VDD,Metal1,59.2890,676.0210,1.199813
FILLER_174_101,VDD,Metal1,55.9290,676.0210,1.199815
FILLER_174_90,VDD,Metal1,50.6490,676.0210,1.199830
FILLER_174_83,VDD,Metal1,47.2890,676.0210,1.199834
FILLER_174_72,VDD,Metal1,42.0090,676.0210,1.199864
FILLER_174_65,VDD,Metal1,38.6490,676.0210,1.199872
FILLER_174_54,VDD,Metal1,33.3690,676.0210,1.199908
FILLER_174_47,VDD,Metal1,30.0090,676.0210,1.199915
FILLER_174_42,VDD,Metal1,26.1600,676.6200,1.199959
FILLER_174_35,VDD,Metal1,24.2490,676.0210,1.199960
FILLER_174_18,VDD,Metal1,15.3710,676.0230,1.199943
FILLER_174_11,VDD,Metal1,12.7290,676.0210,1.199939
FILLER_174_0,VDD,Metal1,7.4490,676.0210,1.199926
FILLER_173_1368,VDD,Metal1,664.0890,669.6580,1.199845
FILLER_173_1361,VDD,Metal1,660.7290,669.6580,1.199846
FILLER_173_1354,VDD,Metal1,657.3690,669.6580,1.199847
FILLER_173_1347,VDD,Metal1,654.0090,669.6580,1.199848
FILLER_173_1340,VDD,Metal1,650.6490,669.6580,1.199870
FILLER_173_1334,VDD,Metal1,646.5600,669.0600,1.199903
FILLER_173_1330,VDD,Metal1,645.1310,669.6560,1.199903
FILLER_173_1323,VDD,Metal1,642.4890,669.6580,1.199903
FILLER_173_1316,VDD,Metal1,639.1290,669.6580,1.199909
FILLER_173_1309,VDD,Metal1,635.7690,669.6580,1.199915
FILLER_173_1302,VDD,Metal1,632.4090,669.6580,1.199921
FILLER_173_1295,VDD,Metal1,629.0490,669.6580,1.199927
FILLER_173_1288,VDD,Metal1,625.6890,669.6580,1.199933
FILLER_173_1281,VDD,Metal1,622.3290,669.6580,1.199920
FILLER_173_1274,VDD,Metal1,618.9690,669.6580,1.199906
FILLER_173_1267,VDD,Metal1,615.6090,669.6580,1.199893
FILLER_173_1253,VDD,Metal1,607.6800,669.0600,1.199347
FILLER_173_1207,VDD,Metal1,585.3600,669.0600,1.199343
FILLER_173_1201,VDD,Metal1,582.7200,669.0600,1.199346
FILLER_173_1141,VDD,Metal1,553.9200,669.0600,1.199560
FILLER_173_1135,VDD,Metal1,551.0400,669.0600,1.199597
FILLER_173_1130,VDD,Metal1,548.4000,669.0600,1.199875
FILLER_173_1115,VDD,Metal1,541.4400,669.0600,1.199597
FILLER_173_1109,VDD,Metal1,538.5600,669.0600,1.199031
FILLER_173_983,VDD,Metal1,478.5710,669.6560,1.199888
FILLER_173_948,VDD,Metal1,461.7710,669.6560,1.199785
FILLER_173_941,VDD,Metal1,459.1290,669.6580,1.199785
FILLER_173_907,VDD,Metal1,442.8090,669.6580,1.199780
FILLER_173_878,VDD,Metal1,427.6800,669.0600,1.199770
