2026-09-19 14:50:28 +0530: Memory Usage (422404K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/boot_spi/runs/run_7/58-klayout-streamout/boot_spi_macro.gds
2026-09-19 14:50:28 +0530: Memory Usage (422560K) : Ruby Version for klayout: 3.3.10
2026-09-19 14:50:28 +0530: Memory Usage (423868K) : Loading database to memory is complete.
2026-09-19 14:50:28 +0530: Memory Usage (423868K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/boot_spi/runs/run_7/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : Evaluate switches.
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : tables selected: main
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : deep mode is enabled.
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : FEOL enabled: true
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : BEOL enabled: true
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : OFFGRID enabled: true
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : ANGLE enabled: true
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : PIN enabled: true
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : FORBIDDEN enabled: true
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : RECOMMENDED enabled: false
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : PreCheck DRC enabled: false
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : CONNECTIVITY_RULES enabled: true.
2026-09-19 14:50:28 +0530: Memory Usage (424052K) : Read in polygons from layers.
2026-09-19 14:50:28 +0530: Memory Usage (425212K) : activ_drw has 21195 polygons
2026-09-19 14:50:28 +0530: Memory Usage (425212K) : activ_pin has 0 polygons
2026-09-19 14:50:28 +0530: Memory Usage (425212K) : activ_mask has 0 polygons
2026-09-19 14:50:28 +0530: Memory Usage (425212K) : activ_filler has 0 polygons
2026-09-19 14:50:28 +0530: Memory Usage (425212K) : activ_nofill has 0 polygons
2026-09-19 14:50:28 +0530: Memory Usage (425212K) : activ_opc has 0 polygons
2026-09-19 14:50:28 +0530: Memory Usage (425212K) : activ_iopc has 0 polygons
2026-09-19 14:50:28 +0530: Memory Usage (425212K) : activ_noqrc has 0 polygons
2026-09-19 14:50:28 +0530: Memory Usage (425212K) : biwind_drw has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425468K) : biwind_opc has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425468K) : pemwind_drw has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425468K) : gatpoly_drw has 18243 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425468K) : gatpoly_pin has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425468K) : gatpoly_filler has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425468K) : gatpoly_nofill has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425596K) : gatpoly_opc has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425596K) : gatpoly_iopc has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425724K) : gatpoly_noqrc has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425724K) : cont_drw has 150883 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425852K) : cont_opc has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425852K) : nsd_drw has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425852K) : nsd_block has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425852K) : metal1_drw has 29887 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425852K) : metal1_pin has 13588 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425852K) : metal1_mask has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425980K) : metal1_filler has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (425980K) : metal1_nofill has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426108K) : metal1_slit has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426264K) : metal1_text has 13430 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426392K) : metal1_opc has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426392K) : metal1_noqrc has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426520K) : metal1_res has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426520K) : metal1_iprobe has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426520K) : metal1_diffprb has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426648K) : passiv_drw has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426648K) : passiv_pin has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426776K) : passiv_sbump has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426776K) : passiv_pillar has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426776K) : passiv_pdl has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426776K) : metal2_drw has 11679 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426776K) : metal2_pin has 32 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426776K) : metal2_mask has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426776K) : metal2_filler has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426904K) : metal2_nofill has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (426904K) : metal2_slit has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427032K) : metal2_text has 32 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427032K) : metal2_opc has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427032K) : metal2_noqrc has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427160K) : metal2_res has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427160K) : metal2_iprobe has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427288K) : metal2_diffprb has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427288K) : baspoly_drw has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427416K) : baspoly_pin has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427416K) : psd_drw has 10072 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427544K) : nldb_drw has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427544K) : digibnd_drw has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427672K) : via1_drw has 4598 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427672K) : backmetal1_drw has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427672K) : backmetal1_pin has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427800K) : backmetal1_mask has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427800K) : backmetal1_filler has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427928K) : backmetal1_nofill has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (427928K) : backmetal1_slit has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (428056K) : backmetal1_text has 0 polygons
2026-09-19 14:50:29 +0530: Memory Usage (428056K) : backmetal1_opc has 0 polygons
