Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_334,VSS,Metal1,166.3200,181.4400,0.000151
FILLER_43_332,VSS,Metal1,165.6000,181.4400,0.000151
FILLER_43_325,VSS,Metal1,163.4460,180.9790,0.000150
FILLER_43_318,VSS,Metal1,160.0860,180.9790,0.000149
FILLER_43_311,VSS,Metal1,156.7260,180.9790,0.000147
FILLER_43_304,VSS,Metal1,153.3660,180.9790,0.000145
FILLER_43_297,VSS,Metal1,150.0060,180.9790,0.000144
FILLER_43_56,VSS,Metal1,32.8800,181.4400,0.000012
FILLER_43_49,VSS,Metal1,30.9660,180.9790,0.000010
FILLER_43_42,VSS,Metal1,27.6060,180.9790,0.000006
FILLER_43_35,VSS,Metal1,24.2460,180.9790,0.000003
FILLER_43_28,VSS,Metal1,20.8860,180.9790,0.000003
FILLER_43_21,VSS,Metal1,17.5260,180.9790,0.000003
FILLER_43_14,VSS,Metal1,14.1660,180.9790,0.000003
FILLER_43_7,VSS,Metal1,10.8060,180.9790,0.000003
FILLER_43_0,VSS,Metal1,7.4460,180.9790,0.000003
FILLER_42_321,VSS,Metal1,160.0800,173.8800,0.002660
FILLER_42_308,VSS,Metal1,154.5480,174.2560,0.002150
FILLER_42_301,VSS,Metal1,151.9260,174.3400,0.001855
FILLER_42_294,VSS,Metal1,148.5660,174.3400,0.001854
FILLER_42_287,VSS,Metal1,145.2060,174.3400,0.001853
FILLER_42_261,VSS,Metal1,131.2800,173.8800,0.001784
FILLER_42_259,VSS,Metal1,130.5600,173.8800,0.001784
FILLER_42_253,VSS,Metal1,127.4400,173.8800,0.001726
FILLER_42_234,VSS,Metal1,118.5600,173.8800,0.001706
FILLER_42_229,VSS,Metal1,115.9200,173.8800,0.001706
FILLER_42_192,VSS,Metal1,98.1600,173.8800,0.000049
FILLER_42_188,VSS,Metal1,96.9480,174.2560,0.000049
FILLER_42_181,VSS,Metal1,94.3260,174.3400,0.000049
FILLER_42_124,VSS,Metal1,65.5200,173.8800,0.000311
FILLER_42_116,VSS,Metal1,61.9200,173.8800,0.000311
FILLER_42_78,VSS,Metal1,43.4400,173.8800,0.000116
FILLER_42_63,VSS,Metal1,36.9480,174.2560,0.000116
FILLER_42_56,VSS,Metal1,34.3260,174.3400,0.000116
FILLER_42_49,VSS,Metal1,30.9660,174.3400,0.000116
FILLER_42_42,VSS,Metal1,27.6060,174.3400,0.000098
FILLER_42_35,VSS,Metal1,24.2460,174.3400,0.000013
FILLER_42_28,VSS,Metal1,20.8860,174.3400,0.000013
FILLER_42_21,VSS,Metal1,17.5260,174.3400,0.000013
FILLER_42_14,VSS,Metal1,14.1660,174.3400,0.000013
FILLER_42_7,VSS,Metal1,10.8060,174.3400,0.000013
FILLER_42_0,VSS,Metal1,7.4460,174.3400,0.000013
FILLER_41_346,VSS,Metal1,172.0800,173.8800,0.002662
FILLER_41_344,VSS,Metal1,171.3600,173.8800,0.002662
FILLER_41_306,VSS,Metal1,152.8800,173.8800,0.001855
FILLER_41_304,VSS,Metal1,152.1600,173.8800,0.001855
FILLER_41_297,VSS,Metal1,150.0060,173.4190,0.001855
FILLER_41_290,VSS,Metal1,146.6460,173.4190,0.001854
FILLER_41_284,VSS,Metal1,142.3200,173.8800,0.001824
FILLER_41_252,VSS,Metal1,126.9600,173.8800,0.001726
FILLER_41_218,VSS,Metal1,112.0860,173.4190,0.000442
FILLER_41_190,VSS,Metal1,97.9080,173.5030,0.000049
FILLER_41_164,VSS,Metal1,84.9600,173.8800,0.000152
FILLER_41_160,VSS,Metal1,83.5080,173.5030,0.000167
