s_axil_wready,38.94µm
_0199_,38.88µm
net19,38.075µm
net232,37.995µm
_0108_,37.68µm
i_gpio.aw_en,36.99µm
net37,36.84µm
net142,36.645µm
net52,36.6µm
_0297_,36.54µm
net24,36.54µm
net14,36.48µm
net77,35.41µm
net31,35.26µm
net275,35.22µm
net63,35.145µm
s_axil_bvalid,35.1µm
net144,35.07µm
net41,34.99µm
_0220_,34.81µm
_0181_,34.56µm
net36,34.52µm
net8,34.03µm
net68,33.97µm
net201,33.755µm
_0267_,33.61µm
_0118_,32.72µm
net2,32.7µm
net152,32.565µm
_0238_,32.53µm
net155,32.47µm
net266,32.31µm
_0172_,32.07µm
gpio_dir[25],31.805µm
gpio_dir[31],30.87µm
gpio_dir[24],30.7µm
gpio_dir[27],30.5µm
gpio_dir[29],30.5µm
net263,30.5µm
s_axil_wdata[25],30.3µm
_0261_,30.02µm
s_axil_wdata[26],29.94µm
s_axil_wdata[24],29.83µm
s_axil_wdata[23],29.82µm
s_axil_wdata[27],29.82µm
gpio_dir[28],29.72µm
net435,29.445µm
s_axil_wdata[21],29.34µm
gpio_dir[30],29.18µm
s_axil_wdata[22],28.98µm
net4,28.87µm
gpio_dir[26],28.76µm
gpio_dir[23],28.625µm
gpio_dir[21],28.58µm
net70,28.56µm
s_axil_wdata[20],28.5µm
s_axil_wdata[29],28.5µm
s_axil_wstrb[3],28.38µm
s_axil_wdata[19],28.27µm
net402,28.08µm
s_axil_wdata[18],28.02µm
s_axil_wvalid,28.02µm
s_axil_wstrb[1],27.9µm
gpio_dir[22],27.68µm
gpio_dir[20],27.62µm
s_axil_wstrb[2],27.54µm
_0288_,27.505µm
_0186_,27.42µm
s_axil_wdata[16],26.94µm
net72,26.88µm
net71,26.77µm
gpio_dir[19],26.66µm
gpio_in[0],26.24µm
_0202_,26.16µm
s_axil_wdata[17],25.99µm
s_axil_wdata[12],25.98µm
s_axil_wdata[4],25.98µm
gpio_dir[12],25.7µm
gpio_dir[14],25.7µm
gpio_dir[16],25.7µm
_0329_,25.68µm
s_axil_wdata[28],25.5µm
_0273_,25.365µm
net158,25.34µm
gpio_in[1],25.28µm
s_axil_wdata[15],25.14µm
s_axil_wdata[30],25.02µm
gpio_dir[13],24.965µm
gpio_dir[15],24.92µm
gpio_dir[17],24.92µm
net185,24.87µm
gpio_dir[11],24.74µm
s_axil_wdata[2],24.54µm
s_axil_wdata[13],24.495µm
net66,24.49µm
net427,24.38µm
gpio_in[17],24.32µm
gpio_in[2],24.32µm
net407,24.25µm
s_axil_wdata[11],24.18µm
s_axil_wdata[0],24.06µm
s_axil_wdata[31],24.06µm
gpio_dir[18],24.02µm
_0166_,23.9µm
gpio_in[12],23.84µm
gpio_in[8],23.84µm
_0117_,23.78µm
gpio_dir[10],23.78µm
gpio_in[15],23.73µm
gpio_in[7],23.73µm
s_axil_wdata[9],23.7µm
s_axil_wstrb[0],23.7µm
s_axil_awready,23.7µm
gpio_dir[5],23.61µm
net420,23.4µm
gpio_in[13],23.36µm
gpio_in[19],23.36µm
gpio_in[3],23.36µm
gpio_in[5],23.36µm
gpio_in[9],23.36µm
gpio_in[6],23.25µm
net164,23.23µm
s_axil_wdata[7],23.22µm
s_axil_awvalid,23.16µm
_0244_,23.1µm
s_axil_wdata[14],23.1µm
gpio_dir[8],23µm
net163,22.98µm
