net,length_um
clknet_0_clk_i,1.676215mm
net1255,1.09301mm
net744,1.0452mm
net480,1.0393mm
net341,1.021105mm
net867,1.019995mm
net347,1.01937mm
net456,1.009005mm
net1394,992.265µm
net329,938.95µm
net450,931.65µm
net313,917.79µm
net444,916.905µm
net360,914.49µm
net319,904.395µm
net434,902.19µm
net468,899.735µm
net331,899.12µm
net462,897.135µm
net1319,894.495µm
net380,891.535µm
net915,887.425µm
net382,886.99µm
net308,886.545µm
net262,884.62µm
net470,879.815µm
net428,877.3µm
net407,869.585µm
net492,867.53µm
net358,860.73µm
net423,848.925µm
net482,848.08µm
net280,847.245µm
net41,845.37µm
net284,841.175µm
net272,839.68µm
net335,829.03µm
net465,828.62µm
net364,826.47µm
net278,822.525µm
net459,822.27µm
net381,821.425µm
net323,817.81µm
net474,816.65µm
net43,813.795µm
net486,813.255µm
net355,803.17µm
net307,802.22µm
net27,801.385µm
net275,798.55µm
net46,795.48µm
net377,793.965µm
net326,791.38µm
net476,788µm
net48,778.12µm
net141,774.32µm
net318,773.945µm
net330,771.42µm
net819,768.34µm
net441,768.11µm
net594,763.37µm
net359,760.015µm
net1264,759.46µm
net432,757.55µm
net372,754.29µm
net266,753.28µm
net406,745.345µm
net438,743.275µm
net54,742.33µm
net60,738.87µm
net317,738.295µm
net818,738.05µm
net338,737.62µm
_03853_,736.93µm
net49,736.93µm
net53,730.705µm
net102,728.89µm
net52,727.095µm
_02989_,725.54µm
net55,725.145µm
net56,724.13µm
_03852_,723.615µm
net57,723.465µm
net58,721.82µm
net433,721.5µm
_01615_,719.2µm
net489,714.345µm
net427,713.77µm
net709,706.305µm
net139,698.71µm
net367,697.91µm
net138,695.84µm
net1437,694.21µm
net484,693.23µm
net1271,692.855µm
net538,692.465µm
net478,682.105µm
net24,681.215µm
net136,676.56µm
net310,672.92µm
net282,672.255µm
net447,671.715µm
net137,670.81µm
net409,664.04µm
net384,662.6µm
net706,661.85µm
net472,659.765µm
net422,659.62µm
net276,659.285µm
net425,658.96µm
net140,652.93µm
net1418,651.025µm
net780,649.855µm
net535,643.155µm
_05948_,639.005µm
net312,638.74µm
net466,635.475µm
net3,634.995µm
net356,632.82µm
net245,629.565µm
net321,629.265µm
net697,625.685µm
net362,623.685µm
net333,623.575µm
net368,619.525µm
_02973_,617.03µm
net261,612.71µm
net469,607.665µm
net475,604.505µm
_02974_,602.505µm
net457,601.075µm
net264,599.005µm
net454,595.79µm
net373,592.005µm
net339,582.705µm
net481,581.925µm
net22,581.725µm
net279,580.175µm
net460,575.03µm
net1256,573.91µm
net453,573.45µm
net430,572.765µm
net436,572.74µm
net796,572.4µm
net416,572.09µm
net350,571.515µm
net348,571.31µm
net351,567.315µm
net417,566.075µm
net336,565.08µm
net91,561.91µm
net315,561.255µm
net797,556.985µm
net448,555.9µm
net344,555.555µm
net1078,553.175µm
net345,553.155µm
net806,551.72µm
net342,550.76µm
net270,548.825µm
clk_i,545.68µm
net327,543.69µm
net442,541.715µm
net584,540.855µm
net490,540.17µm
net378,539.435µm
net537,537.17µm
net242,530.78µm
net757,528.14µm
net439,526.95µm
net463,524.16µm
net789,520.535µm
net42,518.77µm
net370,516.865µm
_01588_,516.31µm
net451,514.62µm
net1267,508.585µm
net375,508.08µm
net817,507.615µm
net804,505.905µm
net728,505.24µm
net1429,504.435µm
net735,499.305µm
net45,497.67µm
net365,496.715µm
net1265,496.67µm
net20,496.21µm
net36,493.34µm
net1312,491.77µm
net324,491.34µm
net59,491.04µm
u_picorv32.picorv32_core.decoded_imm\[6\],489.565µm
net793,489.535µm
net799,488.7µm
net725,487.82µm
net536,483.45µm
net791,483.06µm
net641,480.17µm
net803,479.99µm
net589,479.05µm
net269,476.415µm
net487,475.245µm
net792,474.895µm
net21,474.015µm
_03004_,474.01µm
net696,473.98µm
net724,473.815µm
net556,473.5µm
_02904_,473.36µm
_02965_,472.15µm
net1381,471.48µm
_02792_,470.305µm
net47,468.79µm
net94,468.79µm
net794,467.455µm
net95,467.29µm
net25,466.81µm
net65,466.495µm
_00004_,464.56µm
net40,464.29µm
net66,463.65µm
net243,463.18µm
net44,461.51µm
net23,460.91µm
net802,460.28µm
net39,459.62µm
u_picorv32.pcpi_rs2\[6\],459.28µm
net63,455.975µm
net64,455.825µm
net798,455.485µm
net532,453.275µm
net68,452.69µm
net96,451.93µm
net62,450.605µm
net705,449.63µm
net1246,448.19µm
net267,447.715µm
net1262,445.4µm
net61,443.21µm
_05482_,442.64µm
net51,441.445µm
net445,441.06µm
net704,440.46µm
net1045,439.36µm
net1413,439.125µm
_02827_,438.54µm
net952,436.895µm
net67,436.72µm
net1197,436.36µm
_03002_,436.33µm
net1270,436.3µm
net273,435.665µm
net945,435.5µm
net1202,435.285µm
net581,433.11µm
net860,432.435µm
net805,432.085µm
net98,431.22µm
net97,431.05µm
net18,429.195µm
net353,427.595µm
net738,426.915µm
net663,425.81µm
net690,424.85µm
net99,424.63µm
_02822_,423.245µm
net1057,421.77µm
u_picorv32.pcpi_rs2\[5\],420.19µm
_03020_,419.94µm
net50,419.54µm
net695,418.605µm
net14,418.525µm
