net,length_um
clknet_0_clk_i,1.756555mm
net1609,716.405µm
net613,705.4µm
net1563,703.505µm
net1559,699.22µm
net1567,687.95µm
net1564,686.585µm
net1557,685.505µm
net1533,683.565µm
net1561,678.97µm
net1096,677.82µm
net1568,677.045µm
net1556,674.98µm
net1555,674.55µm
net1565,673.47µm
net1566,669.035µm
net1569,668.9µm
net1560,662.62µm
net1753,657.755µm
net1552,651.74µm
net1541,648.72µm
net987,647.91µm
net1553,646.12µm
net1554,642.405µm
net700,631.04µm
net437,626.58µm
net754,618.385µm
net663,616.78µm
net408,616.6µm
net337,615.605µm
net603,608.305µm
net418,605.585µm
net472,601.005µm
net482,595.52µm
net653,586.205µm
net958,583.64µm
net597,572.47µm
net1598,560.43µm
net480,558.125µm
net690,554.075µm
net435,553.545µm
net1570,553.17µm
net402,550.405µm
net755,547.815µm
net1798,543.15µm
net1077,542.855µm
net681,542.06µm
net1223,541.49µm
net607,540.21µm
_00000_,538.415µm
clk_i,534.75µm
net672,532.8µm
net1401,527.75µm
net346,527.09µm
net601,523.395µm
net1353,521.94µm
net1428,517.465µm
net694,515.73µm
net500,514.895µm
_00001_,514.51µm
_02990_,514.235µm
net505,513.52µm
net998,511.695µm
net671,511.14µm
net1589,507.245µm
net331,506.39µm
net314,504.865µm
net1069,504.725µm
net960,503.19µm
net651,503.165µm
net321,502.795µm
net466,501.645µm
net1451,499.47µm
net753,498.06µm
net962,497.155µm
net345,495.725µm
net281,495.095µm
net431,491.77µm
net1434,491.355µm
net423,487.905µm
net335,487.84µm
net406,487.15µm
net647,485.58µm
net470,483.785µm
net27,483.55µm
net689,483.27µm
net22,483.005µm
net1591,480.82µm
net633,480.71µm
net1799,480.23µm
net509,476.82µm
net756,476.01µm
net685,475.095µm
net988,474.32µm
net491,473.33µm
net680,471.505µm
net611,469.535µm
net657,468.515µm
net1770,468.21µm
net1441,465.49µm
_02812_,464.71µm
net476,463.465µm
net698,462.765µm
net487,461.245µm
net752,461.01µm
net661,459.485µm
net545,458.63µm
net315,458.225µm
net1373,456.93µm
net618,456.395µm
net391,456.355µm
net316,455.915µm
net325,455.04µm
net946,449.895µm
net1596,445.075µm
net416,442.24µm
net629,441.6µm
net38,440.76µm
net412,440.02µm
net546,437.595µm
net667,437.325µm
net20,437.26µm
net341,435.805µm
net676,435.49µm
clknet_leaf_93_clk_i,434.94µm
_02989_,433.36µm
net599,432.92µm
net513,431.765µm
net496,430.405µm
net678,429.79µm
net1431,429.48µm
net456,428.43µm
net1049,428.3µm
net458,427.595µm
net442,425.83µm
net392,422.37µm
net516,422.06µm
net551,421.56µm
net460,421.105µm
net639,421.09µm
_04969_,420.79µm
net36,420.32µm
net25,419.13µm
_02988_,418.97µm
net609,417.355µm
net1181,416.795µm
net444,416.555µm
net592,415.95µm
net641,414.74µm
net1558,412.17µm
net518,412.045µm
net687,411.88µm
net1120,411.3µm
_02974_,410.78µm
net549,409.5µm
net850,409.285µm
net1562,408.75µm
net590,408.385µm
net620,407.925µm
net1754,403.69µm
net1221,403.605µm
net944,403.13µm
net649,402.23µm
net468,399.805µm
net1796,399.245µm
net318,398.425µm
net21,398.305µm
net1776,397.605µm
net1771,397.425µm
net1545,396.75µm
net1544,396.21µm
u_picorv32.pcpi_rs2\[5\],394.38µm
net1445,394.18µm
net692,394.08µm
net1546,393.87µm
_02807_,393.6µm
