2026-09-17 13:50:50 +0530: Memory Usage (422652K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_11/58-klayout-streamout/picorv32_macro.gds
2026-09-17 13:50:50 +0530: Memory Usage (422652K) : Ruby Version for klayout: 3.3.10
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : Loading database to memory is complete.
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_11/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : Evaluate switches.
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : tables selected: main
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : deep mode is enabled.
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : FEOL enabled: true
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : BEOL enabled: true
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : OFFGRID enabled: true
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : ANGLE enabled: true
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : PIN enabled: true
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : FORBIDDEN enabled: true
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : RECOMMENDED enabled: false
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : PreCheck DRC enabled: false
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : CONNECTIVITY_RULES enabled: true.
2026-09-17 13:50:50 +0530: Memory Usage (432612K) : Read in polygons from layers.
2026-09-17 13:50:50 +0530: Memory Usage (439060K) : activ_drw has 177829 polygons
2026-09-17 13:50:50 +0530: Memory Usage (439060K) : activ_pin has 0 polygons
2026-09-17 13:50:50 +0530: Memory Usage (439060K) : activ_mask has 0 polygons
2026-09-17 13:50:50 +0530: Memory Usage (439060K) : activ_filler has 0 polygons
2026-09-17 13:50:50 +0530: Memory Usage (439060K) : activ_nofill has 0 polygons
2026-09-17 13:50:50 +0530: Memory Usage (439060K) : activ_opc has 0 polygons
2026-09-17 13:50:50 +0530: Memory Usage (439060K) : activ_iopc has 0 polygons
