net,length_um
clknet_0_clk_i,1.694225mm
net65,1.15865mm
net66,1.14523mm
net67,1.142655mm
net68,1.10979mm
net39,1.10744mm
net40,1.074885mm
net522,1.073075mm
net41,1.051605mm
net42,1.0422mm
net43,1.022855mm
net44,993.905µm
net45,987.355µm
net46,959.105µm
net47,946.215µm
net48,928.02µm
net49,914.59µm
net50,890.04µm
net141,888.82µm
net51,875.2µm
net1387,865.66µm
net52,859.88µm
net53,828.175µm
net55,825.99µm
net54,820.48µm
net56,788.915µm
net57,785.06µm
net327,777.585µm
net355,763.2µm
net58,750.78µm
net63,744.91µm
net62,744.74µm
net64,741.93µm
net60,733.315µm
net61,726.43µm
net1414,710.88µm
net316,677.015µm
net463,676.155µm
net350,675.52µm
net790,671.34µm
net1293,670.6µm
net457,668.445µm
net305,667.14µm
net357,665.075µm
net477,664.38µm
net435,654.205µm
net363,652.84µm
net362,650.4µm
net366,649.1µm
net373,646.8µm
net434,642.605µm
net59,640.77µm
net315,640.77µm
net310,637.46µm
net455,633.665µm
net426,631µm
net275,630.095µm
net324,629.025µm
net461,628.775µm
net451,627.39µm
net323,626.29µm
net372,625.055µm
net353,624.44µm
net330,622.775µm
net259,622.015µm
net318,621.9µm
net267,621.62µm
net468,615.83µm
net333,615.77µm
net273,610.88µm
net91,609.78µm
net693,606.87µm
net341,606.315µm
net359,602.505µm
net440,600.46µm
net343,600.155µm
net317,599.51µm
net430,597.4µm
_00002_,596.08µm
net337,595.765µm
net442,595.44µm
net356,590.92µm
net439,590.01µm
net1,589.325µm
net428,589.03µm
net365,588.15µm
net332,585.66µm
net329,584.92µm
net269,583.81µm
net466,581.55µm
net783,581.4µm
net278,578.595µm
net279,578.315µm
net460,578.275µm
net263,576.765µm
net472,576.545µm
net849,576.415µm
net443,576.23µm
net342,575.065µm
net264,574.81µm
net347,574.33µm
net452,571.445µm
net647,571.275µm
net431,570.505µm
clk_i,570.37µm
net689,567.57µm
net469,566.85µm
net1125,566.54µm
net450,566.445µm
_02989_,560.685µm
net399,557.66µm
net458,556.67µm
net422,554.985µm
net690,554.885µm
net471,554.63µm
net464,552.94µm
net801,549.365µm
net447,548.335µm
net521,548.325µm
net473,545.63µm
net319,541.05µm
net420,540.87µm
net542,540.145µm
net312,539.89µm
net262,536.56µm
net425,535.725µm
net344,534.59µm
net326,533.545µm
net306,532.125µm
net1236,531.415µm
net433,530.345µm
net313,525.25µm
net416,525.195µm
net260,524.35µm
net775,520.6µm
net727,518.9µm
net325,518.54µm
net705,516.87µm
net912,516.34µm
net314,513.775µm
net377,513.545µm
net423,513µm
net1231,511.645µm
net785,511.06µm
net348,510.98µm
net444,510.51µm
_04039_,509.51µm
net309,509.24µm
net276,509.21µm
net453,509.2µm
net1239,509.125µm
net427,508.995µm
net504,508.69µm
net403,507.905µm
net368,505.51µm
net266,502.995µm
net271,502.075µm
net261,501.935µm
net352,500.25µm
net361,492.505µm
net789,492.27µm
net94,491.83µm
net376,490.305µm
net781,487.325µm
net454,486.73µm
net277,485.675µm
net459,482.455µm
net467,480.875µm
net470,479.91µm
net345,478.435µm
net438,478.075µm
_02812_,477.58µm
net402,473.49µm
net465,473.295µm
net421,473.28µm
net358,471.995µm
net274,471.265µm
net95,467.6µm
net400,467.39µm
net1223,466.955µm
net360,466.81µm
net349,465.82µm
net417,464.735µm
net448,463.81µm
net419,460.4µm
net449,458.075µm
net523,456.43µm
net692,455.805µm
net1246,455.07µm
net456,453.625µm
net800,453.625µm
net96,452.83µm
net1131,449.545µm
net340,449.05µm
_00009_,448.285µm
net897,448.03µm
net621,447.655µm
net1005,447.065µm
_02988_,446.94µm
net374,446.865µm
net780,446.395µm
_03865_,446.335µm
net476,445.595µm
net797,443.855µm
_02991_,442.955µm
net311,442.675µm
_00005_,442.62µm
net1382,441.58µm
net519,441.54µm
net432,441.435µm
net1240,440.835µm
net795,440.505µm
net763,434.61µm
_02842_,434.56µm
net1243,434.16µm
net244,434.09µm
net308,433.49µm
u_picorv32.pcpi_rs2\[21\],430.215µm
net1242,428.455µm
_02848_,426.85µm
net364,426.84µm
net1233,425.065µm
net371,423.83µm
net787,423.005µm
net1261,421.235µm
net445,420.6µm
net441,420.045µm
net1115,418.24µm
net1219,416.745µm
net678,416.33µm
net706,414.77µm
_02874_,412.55µm
_02978_,412.225µm
_05151_,411.81µm
net1237,411.525µm
net864,410.28µm
net718,409.63µm
net696,407.645µm
_02977_,407.53µm
_02979_,407.07µm
u_picorv32.picorv32_core.cpu_state\[5\],406.925µm
u_picorv32.picorv32_core.decoded_imm\[28\],406.53µm
net494,406.065µm
net334,405.045µm
net398,400.835µm
net1316,400.7µm
u_picorv32.picorv32_core.decoded_imm\[20\],398.96µm
net941,396.205µm
net1151,394.975µm
net777,394.97µm
net429,394.32µm
net335,394.215µm
_04193_,394.105µm
net816,393.795µm
_05073_,393.12µm
_03020_,392.78µm
net322,391.335µm
net1238,391.18µm
net1217,390.91µm
u_picorv32.picorv32_core.reg_pc\[11\],390.81µm
_03948_,388.63µm
net370,388.2µm
net462,388.12µm
net369,387.94µm
net424,387.42µm
net618,386.36µm
_03995_,384.7µm
net570,384.47µm
u_picorv32.picorv32_core.decoded_imm\[22\],384.45µm
u_picorv32.picorv32_core.cpu_state\[4\],383.12µm
net1227,383.1µm
net694,382.565µm
net1291,382.49µm
_01618_,380.535µm
net938,380.395µm
_00004_,379.74µm
