net,length_um
clknet_0_clk_i,1.623135mm
net63,1.266885mm
net64,1.24858mm
net65,1.22738mm
net66,1.22346mm
net67,1.20209mm
net68,1.174495mm
net39,1.16095mm
net40,1.13917mm
net41,1.11289mm
net42,1.098665mm
net43,1.087mm
net45,1.05989mm
net44,1.05734mm
net1377,1.04294mm
net46,1.026765mm
net47,1.00516mm
net48,991.52µm
net141,988.52µm
net49,977.455µm
net50,964.675µm
net520,939.07µm
net51,929.81µm
net52,928.65µm
net351,888.785µm
net53,885.82µm
net685,875.005µm
net328,866.02µm
net54,865.215µm
net55,854.545µm
net56,840.3µm
net325,834.655µm
net57,825.93µm
net58,812.59µm
net455,809.03µm
net315,797.305µm
net60,784.375µm
_03852_,781.445µm
net62,780.245µm
net457,775.79µm
net273,773.685µm
net318,762.465µm
net61,761.55µm
net354,747.925µm
net779,743.355µm
net456,728.895µm
net350,727.09µm
net314,719.29µm
net461,717.565µm
net277,715.1µm
net278,713.07µm
net448,710.675µm
net790,707.46µm
net467,706.475µm
net343,704.925µm
net460,703.255µm
net990,701.99µm
net1224,699.5µm
net419,695.205µm
_00004_,695.05µm
net324,691.28µm
net264,688.18µm
net309,685.18µm
net59,683.665µm
net262,683.135µm
net683,680.695µm
net422,678.705µm
net425,677.995µm
net344,676.155µm
net466,674.945µm
net348,674.27µm
net1402,670.34µm
net271,670.18µm
net424,670.065µm
net420,668.495µm
net1,667.98µm
net70,666.8µm
net449,658.105µm
net323,658.015µm
net437,657.045µm
net304,652.58µm
net312,652.52µm
net91,649.39µm
net261,648.96µm
net453,648.375µm
net764,646.435µm
net451,646.21µm
net427,643.175µm
net338,642.6µm
net413,642.36µm
net1378,641.255µm
net428,638.9µm
net443,638.745µm
net310,638.715µm
net767,635.245µm
net371,634.465µm
net265,633.62µm
net423,632.905µm
net396,632.685µm
net274,630.7µm
net308,629.87µm
net417,629.84µm
net345,624.665µm
net452,614.665µm
net538,614.485µm
net366,614.04µm
net432,612.51µm
net446,612.505µm
net707,611.435µm
net471,609.21µm
net370,608.185µm
net447,607.6µm
net333,605.84µm
net365,604.265µm
net276,603.785µm
net436,603.695µm
net347,603.665µm
net517,603.18µm
net270,601.55µm
net319,601.19µm
net465,600.17µm
net360,600.135µm
net766,598.8µm
net401,596.89µm
net434,595.705µm
net445,594.03µm
net359,592.915µm
clk_i,591.61µm
net454,590.445µm
net475,588.925µm
net778,588.035µm
net375,587.85µm
_02812_,586.91µm
net355,586.12µm
net327,580.18µm
net313,579.765µm
net341,579.705µm
net670,579.34µm
net353,577.015µm
net908,575.31µm
net444,574.725µm
net680,573.405µm
net372,572.055µm
net418,571.355µm
_02842_,569.45µm
net612,568.95µm
net459,568.905µm
net349,567.085µm
net317,564.36µm
net305,561.565µm
net266,560.935µm
net342,559.53µm
_02965_,556.35µm
_04039_,555.9µm
net450,555.645µm
net902,555.535µm
net702,555.045µm
net400,554.185µm
net1336,552.26µm
net433,550.92µm
net334,550.165µm
net429,548.58µm
_03004_,548.485µm
net272,543.99µm
net1228,542.68µm
net397,539.415µm
net774,538.15µm
net776,536.85µm
net474,534.7µm
_02874_,534.025µm
net1209,532.23µm
net358,532.065µm
net439,530.025µm
_00001_,529.635µm
net684,528.98µm
_00007_,528.145µm
net438,524.805µm
net431,523.765µm
net329,522.15µm
net1225,522.065µm
net369,520.915µm
net94,519.79µm
net440,518.53µm
net339,518.365µm
net635,515.43µm
net1001,512.905µm
net421,507.495µm
net713,501.525µm
net330,500.74µm
net1222,495.945µm
net340,495.85µm
net430,495.02µm
net426,491.735µm
net335,491.72µm
net1227,490.955µm
_02991_,490.475µm
net311,489.445µm
net1216,483.165µm
net768,482.68µm
net242,480.255µm
net263,479.345µm
net564,478.7µm
net785,477.365µm
net316,475.94µm
net469,471.51µm
net783,470.525µm
net332,469.83µm
_03995_,467.31µm
net1000,466.28µm
net463,464.76µm
net752,463.67µm
net281,461.815µm
net275,461.25µm
net588,459.555µm
net777,456.505µm
_02988_,454.465µm
net1207,451.9µm
net337,450.55µm
_05151_,448.74µm
_00000_,448.47µm
_02807_,445.72µm
net414,445.015µm
net1096,444.06µm
net1229,443.815µm
_00006_,442.085µm
_05073_,441.06µm
_04193_,440.195µm
net886,439.91µm
_02848_,438.85µm
net769,437.86µm
_02984_,437.3µm
net609,437.27µm
net27,437.13µm
net1210,436.355µm
net673,436.05µm
u_picorv32.picorv32_core.decoded_imm\[14\],435.28µm
u_picorv32.picorv32_core.cpu_state\[3\],434.575µm
net854,432.725µm
net770,432.04µm
net782,431.52µm
net805,430.66µm
_02864_,430.38µm
net1129,430.27µm
net1114,430.14µm
net442,428.715µm
net1221,428.66µm
net326,428.11µm
_03351_,427.215µm
_03948_,426.87µm
net435,426.735µm
_02832_,426.13µm
u_picorv32.picorv32_core.decoded_imm\[30\],424.77µm
net712,423.68µm
net19,423.235µm
net1360,422.595µm
net894,422.03µm
net1246,421.655µm
net638,421.515µm
net763,420.21µm
_02982_,417.715µm
net896,417.41µm
_02995_,416.465µm
_02996_,415.28µm
net346,413.995µm
net721,413.325µm
_02691_,413.23µm
net706,413.185µm
net661,410.995µm
_04393_,407.23µm
net1126,406.795µm
net1093,406.22µm
_01588_,405.665µm
net773,405.58µm
net1213,405.095µm
net364,404.135µm
net1072,403.685µm
net416,402.68µm
net787,402.625µm
_00009_,402.01µm
u_picorv32.picorv32_core.reg_pc\[11\],401.505µm
net780,401.445µm
net490,401.225µm
net1401,399.825µm
net929,399.785µm
net1205,398.785µm
net519,398.45µm
net1002,398.44µm
u_picorv32.pcpi_rs2\[23\],397.71µm
net1219,397.465µm
net24,396.725µm
_04969_,396.51µm
u_picorv32.picorv32_core.decoded_imm\[22\],396.155µm
net1277,395.925µm
net18,395.39µm
net1078,394.2µm
net1111,392.68µm
net781,392.675µm
net269,392.32µm
net515,391.445µm
_05228_,391.34µm
net462,390.86µm
_05557_,390.68µm
net356,389.875µm
_03020_,389.72µm
net472,388.865µm
_00003_,388.575µm
net320,388.56µm
_05138_,388.46µm
_05086_,387.56µm
net775,387.56µm
_02910_,387.43µm
net760,387.125µm
_02983_,386.885µm
_04369_,386.72µm
net926,386.08µm
_05871_,383.84µm
_04996_,383.39µm
net352,382.28µm
net786,382.165µm
net1212,381.64µm
net1108,380.885µm
_02932_,380.01µm
net689,379.96µm
u_picorv32.picorv32_core.decoded_imm\[7\],379.715µm
net1138,379.705µm
net518,379.155µm
_01657_,379.105µm
u_picorv32.picorv32_core.decoded_imm\[28\],378.88µm
_03864_,378.72µm
net362,377.94µm
net470,377.795µm
net569,376.91µm
_05177_,375.97µm
net1204,375.94µm
net22,375.52µm
net1201,373.895µm
net367,373.815µm
net468,373.42µm
_04982_,372.36µm
net17,371.05µm
_00005_,370.895µm
_02981_,369.32µm
net1084,368.11µm
net729,367.935µm
net321,367.58µm
net671,367.44µm
net13,367.16µm
u_picorv32.picorv32_core.mem_rdata_q\[14\],366.86µm
net237,366.85µm
_02803_,366.68µm
u_picorv32.picorv32_core.decoded_imm\[20\],365.535µm
_02852_,364.39µm
u_picorv32.pcpi_rs2\[22\],364.245µm
net705,362.94µm
u_picorv32.picorv32_core.decoded_imm\[11\],362.8µm
net716,362.025µm
_01618_,361.69µm
net409,361.475µm
net1372,360.87µm
u_picorv32.picorv32_core.decoded_imm_j\[11\],360.61µm
net819,360.515µm
net102,359.95µm
u_picorv32.picorv32_core.decoded_imm\[23\],359.82µm
net267,359.45µm
net16,359.11µm
net1220,358.72µm
_02885_,357.66µm
net868,357.48µm
net681,356.935µm
net1087,356.405µm
_02994_,355.46µm
net14,354.825µm
net1135,354.475µm
_02870_,354.44µm
net1394,354.435µm
net481,352.53µm
u_picorv32.pcpi_rs2\[20\],352.41µm
net23,351.52µm
net21,350.345µm
u_picorv32.pcpi_rs2\[26\],350.33µm
_05482_,349.82µm
net701,349.79µm
u_picorv32.picorv32_core.decoded_imm\[26\],349.715µm
net279,349.61µm
net1335,348.47µm
net1306,348.19µm
u_picorv32.pcpi_rs2\[19\],347.76µm
u_picorv32.picorv32_core.latched_branch,347.72µm
net458,347.65µm
_01615_,347.305µm
net516,347.145µm
net837,346.395µm
net1081,346.115µm
_02997_,345.98µm
net336,345.945µm
net1260,345.09µm
u_picorv32.picorv32_core.decoder_trigger,344.99µm
net28,344.5µm
net464,344.375µm
_05021_,344.15µm
net1104,344.055µm
net280,343.925µm
net25,342.62µm
_02956_,340.785µm
_02859_,340.74µm
net38,340.74µm
_04459_,340.31µm
net636,340.005µm
net711,339.77µm
net717,339.27µm
net561,339.02µm
_02798_,338.82µm
u_picorv32.pcpi_rs2\[27\],338.26µm
net307,338.215µm
u_picorv32.pcpi_rs2\[29\],337.99µm
clknet_5_26__leaf_clk_i,337.555µm
net1231,337.36µm
_04324_,336.7µm
net374,335.495µm
_04235_,334.66µm
u_picorv32.picorv32_core.reg_pc\[1\],334.245µm
_02695_,333.26µm
_03905_,333.215µm
net1211,332.925µm
u_picorv32.picorv32_core.decoded_imm\[8\],332.685µm
net12,331.56µm
_02818_,331.285µm
net11,331.025µm
net694,330.87µm
net574,329.67µm
net789,329.25µm
net710,328.99µm
u_picorv32.picorv32_core.decoded_imm\[10\],328.745µm
net910,328.13µm
_02898_,327.9µm
u_picorv32.picorv32_core.decoded_imm\[27\],327.52µm
net697,327.255µm
net20,326.84µm
_04260_,326.29µm
net1010,325.285µm
net930,324.72µm
net998,324.35µm
net483,324.19µm
net1120,324µm
net1169,323.41µm
_04598_,322.92µm
net331,322.38µm
net1070,322.105µm
net1024,321.9µm
net1100,320.88µm
net101,319.39µm
net1279,319.27µm
net708,318.565µm
net682,317.9µm
net914,317.645µm
_05099_,316.99µm
_01609_,316.3µm
u_picorv32.picorv32_core.decoded_imm\[18\],315.29µm
net1173,315.195µm
_03000_,314.18µm
net399,314.02µm
net368,313.48µm
net583,313.335µm
net639,313.295µm
net357,312.825µm
net1199,312.74µm
u_picorv32.picorv32_core.is_lui_auipc_jal,311.715µm
net322,311.24µm
net1090,311.09µm
u_picorv32.picorv32_core.decoded_imm\[25\],310.96µm
_02999_,310.77µm
net709,310.255µm
u_picorv32.picorv32_core.decoded_imm\[17\],309.76µm
u_picorv32.pcpi_rs2\[28\],309.175µm
net473,309.15µm
net887,308.975µm
net919,308.17µm
net1164,308.165µm
_01614_,308.08µm
_04941_,307.68µm
net1074,306.93µm
u_picorv32.pcpi_rs1\[21\],306.81µm
net838,306.695µm
u_picorv32.pcpi_rs1\[27\],305.715µm
_04090_,305.705µm
_02837_,305.52µm
u_picorv32.pcpi_rs2\[21\],305.12µm
net1040,304.755µm
net245,304.735µm
_02998_,304.465µm
_05726_,304.065µm
net618,303.685µm
net1223,302.91µm
_04232_,302.89µm
_02822_,302.64µm
net1123,301.285µm
net659,299.48µm
net586,299.185µm
_03350_,298.635µm
_05778_,298.48µm
net901,298.435µm
u_picorv32.picorv32_core.decoded_imm\[19\],298.35µm
net692,298.14µm
net1013,298.125µm
net656,297.975µm
net1160,297µm
u_picorv32.picorv32_core.decoded_imm\[13\],296.715µm
_02325_,296.29µm
net36,295.09µm
net480,294.43µm
_04304_,293.64µm
net1359,293.005µm
net608,292.6µm
