net,length_um
net830,378.825µm
_00003_,378.56µm
net758,378.12µm
net501,377.32µm
_02981_,375.68µm
_04982_,375.61µm
_01657_,374.74µm
net249,374.34µm
net1305,373.915µm
u_picorv32.pcpi_rs2\[22\],373.405µm
_05557_,372.98µm
net400,372.94µm
net799,372.565µm
net22,371.07µm
u_picorv32.picorv32_core.decoded_imm\[28\],370.185µm
net786,370µm
net102,369.21µm
net406,368.955µm
net13,367.83µm
_02852_,367.63µm
net231,367.52µm
net740,367.52µm
u_picorv32.picorv32_core.decoded_imm\[22\],366.63µm
net355,366.07µm
net283,365.85µm
net351,365.22µm
net469,363.625µm
u_picorv32.picorv32_core.mem_rdata_q\[14\],363.305µm
u_picorv32.pcpi_rs2\[20\],363.295µm
net894,363.15µm
net1219,362.84µm
net1476,362.555µm
u_picorv32.picorv32_core.decoded_imm\[11\],362.495µm
net517,362.15µm
net556,362.1µm
net774,361.83µm
net1165,361.13µm
_01618_,360.84µm
net17,360.51µm
net453,360.22µm
net948,360.03µm
_00005_,359.65µm
net16,358.75µm
u_picorv32.picorv32_core.decoded_imm\[23\],358.47µm
net579,357.675µm
net14,357.345µm
net299,356.56µm
net1216,355.82µm
net1185,355.6µm
_05482_,355.525µm
net21,355.475µm
net45,354.73µm
net536,354.725µm
net25,354.385µm
net1499,354.05µm
net1168,353.455µm
net1324,353.395µm
u_picorv32.picorv32_core.decoded_imm\[20\],352.1µm
u_picorv32.picorv32_core.decoder_trigger,352.05µm
u_picorv32.pcpi_rs2\[26\],351.415µm
net509,350.695µm
net861,350.27µm
_02870_,349.16µm
net750,348.61µm
u_picorv32.picorv32_core.decoded_imm_j\[11\],348.59µm
u_picorv32.picorv32_core.decoded_imm\[26\],347.96µm
_01615_,347.41µm
net192,346.74µm
net624,346.705µm
net1439,346.675µm
u_picorv32.pcpi_rs2\[19\],346.33µm
net28,345.53µm
net300,345.015µm
u_picorv32.picorv32_core.latched_branch,344.995µm
_05021_,344.15µm
net573,344.09µm
net864,343.73µm
net1364,343.415µm
net216,343.03µm
net770,342.795µm
net1162,340.86µm
net38,340.74µm
_02956_,340.29µm
net23,340.245µm
net52,340.105µm
u_picorv32.pcpi_rs2\[27\],339.495µm
net1410,339.44µm
net1250,338.115µm
_04459_,337.775µm
net354,337.675µm
net781,337.545µm
net1091,337.105µm
_04324_,336.7µm
net372,336.425µm
net701,336.31µm
u_picorv32.picorv32_core.decoded_imm\[8\],335.665µm
net787,335.275µm
_02695_,334.225µm
net1105,333.87µm
u_picorv32.pcpi_rs2\[29\],333.82µm
net991,333.38µm
net386,333.36µm
net766,333.165µm
net51,332.855µm
net413,332.395µm
net704,331.675µm
u_picorv32.picorv32_core.decoded_imm\[10\],331.185µm
net912,331.09µm
net1315,330.44µm
net331,330.33µm
_04235_,330.13µm
net763,330.09µm
clknet_5_26__leaf_clk_i,329.42µm
net366,328.985µm
net780,328.76µm
_04260_,328.02µm
u_picorv32.picorv32_core.reg_pc\[1\],328.01µm
_03905_,327.675µm
net1079,327.665µm
net12,327.385µm
_02898_,327.18µm
net637,326.95µm
net11,326.94µm
net1151,326.685µm
net1335,325.775µm
net422,325.175µm
net20,325.005µm
net1181,324.855µm
net778,324.395µm
net751,323.34µm
net523,323.255µm
u_picorv32.picorv32_core.decoded_imm\[27\],322.73µm
net54,321.67µm
_04598_,321µm
net407,320.65µm
_02798_,320.415µm
net432,319.81µm
net50,319.8µm
net1201,318.53µm
_05099_,318.2µm
net1011,317.985µm
net274,317.975µm
net101,317.47µm
net1254,315.72µm
net538,315.71µm
net395,315.575µm
net1303,315.545µm
net646,315.155µm
_03000_,314.99µm
_01609_,314.69µm
net1121,313.75µm
net232,313.57µm
_01614_,312.435µm
net243,312.32µm
u_picorv32.picorv32_core.is_lui_auipc_jal,312.115µm
net369,311.95µm
net1000,311.755µm
net528,310.23µm
u_picorv32.pcpi_rs2\[28\],310.16µm
net682,310.095µm
u_picorv32.picorv32_core.decoded_imm\[25\],310.04µm
_04941_,309.6µm
net1463,309.095µm
net1327,309.025µm
net439,308.85µm
net1245,308.795µm
net995,308.145µm
u_picorv32.pcpi_rs1\[21\],307.155µm
net352,307.075µm
u_picorv32.pcpi_rs1\[27\],305.76µm
net247,305.65µm
net1094,305.625µm
net443,305µm
net1171,304.48µm
net649,304.44µm
_02998_,303.97µm
_05726_,303.64µm
net257,303.59µm
_04090_,303.465µm
u_picorv32.picorv32_core.decoded_imm\[17\],302.735µm
_02837_,302.22µm
_04232_,301.93µm
_02822_,301.68µm
net728,301.115µm
net725,300.94µm
net1155,300.375µm
net1204,300.225µm
net1241,299.685µm
_03350_,299.52µm
net761,299.07µm
u_picorv32.picorv32_core.decoded_imm\[19\],298.865µm
net70,298.58µm
_05778_,298.11µm
net913,298.06µm
net982,297.555µm
u_picorv32.picorv32_core.decoded_imm\[18\],297.31µm
net1304,296.71µm
net779,296.7µm
u_picorv32.picorv32_core.decoded_imm\[13\],296.245µm
net535,296.195µm
net968,295.905µm
net1383,295.435µm
net262,295.34µm
net1477,294.89µm
_03001_,293.29µm
net671,293.02µm
net668,291.96µm
net459,291.775µm
net36,290.9µm
u_picorv32.picorv32_core.decoded_imm\[15\],290.66µm
_04881_,289.33µm
u_picorv32.pcpi_rs2\[21\],289.05µm
_05749_,288.1µm
u_picorv32.picorv32_core.decoded_imm\[24\],287.24µm
_02694_,287.1µm
net1395,285.5µm
net47,284.765µm
net1307,283.535µm
net785,283.175µm
net722,283.16µm
net103,282.86µm
net737,282.19µm
net756,281.705µm
u_picorv32.picorv32_core.alu_out\[18\],281.13µm
u_picorv32.pcpi_rs1\[10\],280.63µm
_05707_,280.07µm
net945,279.95µm
_02904_,279.66µm
net495,278.97µm
net1233,278.385µm
net1136,277.985µm
_01656_,277.745µm
_05215_,277.69µm
_01771_,275.87µm
u_picorv32.picorv32_core.decoded_imm_j\[3\],275.335µm
_05763_,274.89µm
net978,274.725µm
net784,274.285µm
u_picorv32.picorv32_core.reg_pc\[8\],274.21µm
net1337,274.16µm
net767,273.93µm
net487,273.62µm
net695,273.385µm
u_picorv32.pcpi_rs2\[24\],272.63µm
net1160,272.275µm
net1093,272.125µm
u_picorv32.pcpi_rs2\[15\],271.99µm
net724,271.89µm
net1078,271.585µm
net994,271.365µm
_01613_,271.09µm
net611,271.08µm
_05732_,270.78µm
net1346,270.46µm
u_picorv32.picorv32_core.decoded_imm\[29\],270.295µm
net969,270.08µm
u_picorv32.picorv32_core.mem_rdata_q\[25\],269.965µm
net871,269.74µm
u_picorv32.pcpi_rs2\[31\],269.55µm
net660,269.445µm
net511,269.35µm
net615,269.31µm
net330,269.245µm
net1438,269.18µm
net1198,268.015µm
net792,267.905µm
net1197,267.885µm
u_picorv32.picorv32_core.decoded_imm\[12\],266.475µm
net667,266.295µm
net539,266.05µm
net1013,266.04µm
net1319,265.99µm
net578,265.855µm
net1217,265.725µm
net1080,265.585µm
u_picorv32.pcpi_rs2\[18\],264.775µm
net1214,264.715µm
net1208,263.07µm
_03904_,262.64µm
_05571_,262.64µm
_05948_,262.63µm
net943,262.06µm
_05112_,261.6µm
_05009_,261.41µm
_05890_,261.225µm
net1494,261.145µm
net759,261.085µm
net1074,260.815µm
net883,260.69µm
net835,260.47µm
clknet_leaf_82_clk_i,259.25µm
net1047,259.02µm
u_picorv32.picorv32_core.reg_pc\[21\],258.975µm
net543,258.82µm
u_picorv32.pcpi_rs2\[30\],258.34µm
net1330,258.265µm
net1070,257.975µm
net1355,257.845µm
net1077,257.835µm
net828,257.635µm
_02827_,256.99µm
net1348,256.89µm
_05737_,256.57µm
_05758_,256.185µm
net1478,255.795µm
net1322,254.97µm
net979,254.92µm
u_picorv32.picorv32_core.reg_out\[26\],254.76µm
net928,254.37µm
_05593_,254.35µm
net891,253.635µm
net1341,253.36µm
_01970_,253.115µm
net416,252.84µm
u_picorv32.pcpi_rs1\[29\],252.75µm
net917,252.61µm
net692,252.585µm
net1318,252.575µm
net452,252.55µm
net442,252.025µm
net1276,251.92µm
_05706_,251.785µm
_04129_,251.615µm
net1382,250.885µm
net1149,250.45µm
net334,250.39µm
net221,250.24µm
net1321,250.23µm
net1243,250.15µm
net1052,250.075µm
_05202_,249.63µm
net684,249.495µm
net1387,249.355µm
_04956_,249.26µm
net867,249.015µm
_04109_,248.495µm
net927,248.07µm
net468,247.87µm
net760,247.78µm
net1211,247.59µm
net1203,247.385µm
_05787_,247.11µm
net1358,247.105µm
net284,246.96µm
clknet_5_20__leaf_clk_i,246.665µm
net757,246.635µm
clknet_5_24__leaf_clk_i,246.605µm
net733,246.31µm
net1369,245.675µm
net878,245.535µm
u_picorv32.pcpi_rs2\[16\],245.36µm
u_picorv32.picorv32_core.latched_rd\[2\],245.19µm
net1447,245.13µm
u_picorv32.picorv32_core.is_alu_reg_imm,244.63µm
net958,244.505µm
clknet_leaf_69_clk_i,244.505µm
u_picorv32.picorv32_core.latched_rd\[0\],244.305µm
net1158,244.295µm
clknet_5_5__leaf_clk_i,244.035µm
net1205,243.575µm
net789,243.535µm
_04528_,243.265µm
net662,242.765µm
net959,242.745µm
net889,242.575µm
net826,242.565µm
net1228,241.795µm
net1334,241.76µm
_05478_,241.09µm
net905,241.075µm
net1458,240.91µm
net1310,240.82µm
net963,240.575µm
net1253,240.005µm
net1349,239.75µm
net544,239.225µm
net647,239.11µm
_02880_,238.97µm
u_picorv32.picorv32_core.reg_pc\[20\],238.945µm
net1378,238.52µm
net412,238.47µm
net790,238.27µm
net1040,237.855µm
net817,237.595µm
net1021,237.43µm
net1374,236.96µm
net553,236.93µm
net1347,236.93µm
net1490,236.85µm
net401,236.83µm
net219,236.395µm
clknet_5_1__leaf_clk_i,236.375µm
_05047_,236.35µm
net1226,235.92µm
net900,235.82µm
net831,235.69µm
net1033,235.285µm
u_picorv32.picorv32_core.reg_pc\[31\],235.265µm
net1342,234.775µm
net244,234.74µm
net904,234.72µm
u_picorv32.picorv32_core.decoded_imm\[31\],234.57µm
net617,234.505µm
u_picorv32.picorv32_core.reg_out\[24\],234.37µm
u_picorv32.pcpi_rs2\[14\],234.23µm
net876,233.83µm
net599,233.825µm
net1386,233.815µm
net693,233.53µm
u_picorv32.picorv32_core.latched_rd\[3\],233.43µm
_03849_,233.23µm
net748,233.16µm
net755,233.05µm
net954,232.845µm
net1051,232.555µm
net1194,232.415µm
_05522_,232.35µm
_05545_,232.35µm
u_picorv32.picorv32_core.mem_rdata_q\[24\],231.895µm
u_picorv32.picorv32_core.decoded_imm_j\[2\],231.6µm
net1099,231.355µm
u_picorv32.picorv32_core.reg_pc\[17\],230.685µm
net1156,230.09µm
net1191,229.965µm
clknet_5_29__leaf_clk_i,229.91µm
net879,229.83µm
net1454,229.6µm
_05510_,229.1µm
net938,229.03µm
net946,228.835µm
_02921_,228.78µm
net1098,228.78µm
net1124,228.555µm
net1170,228.535µm
net1277,228.515µm
net909,228.29µm
_05125_,228.19µm
net1465,228.13µm
net295,227.84µm
net857,227.595µm
net613,227.545µm
net1505,226.56µm
net877,226.025µm
net895,226.005µm
net1206,225.88µm
net931,225.715µm
net714,225.68µm
_02969_,225.655µm
net1441,225.08µm
net933,225.015µm
clknet_5_8__leaf_clk_i,224.77µm
clknet_5_30__leaf_clk_i,224.58µm
net1359,224.17µm
net451,224.165µm
net1199,223.915µm
u_picorv32.pcpi_rs1\[2\],223.74µm
clknet_5_27__leaf_clk_i,223.725µm
_05495_,223.46µm
net908,223.15µm
net1255,222.9µm
clknet_leaf_80_clk_i,222.765µm
net1190,222.76µm
net275,222.6µm
net696,222.39µm
u_picorv32.picorv32_core.latched_rd\[4\],222.385µm
net666,222.365µm
u_picorv32.picorv32_core.reg_out\[23\],222.14µm
net629,222.05µm
clknet_leaf_57_clk_i,222.05µm
net1084,221.955µm
net610,221.845µm
_05800_,221.7µm
_02972_,221.59µm
_02974_,221.49µm
net1351,221.33µm
u_picorv32.pcpi_rs2\[25\],221.255µm
net252,221.14µm
u_picorv32.pcpi_rs2\[17\],221.13µm
net1365,221.08µm
u_picorv32.picorv32_core.decoded_imm\[6\],220.695µm
net901,220.49µm
clknet_5_4__leaf_clk_i,220.225µm
net930,220.165µm
_01697_,219.975µm
net940,219.96µm
clknet_5_0__leaf_clk_i,219.915µm
net245,219.54µm
net1340,219.415µm
net1193,219.11µm
net1143,218.97µm
net246,218.76µm
net633,218.665µm
u_picorv32.axi_adapter.mem_instr,218.66µm
net1356,218.615µm
_04737_,218.53µm
net689,218.435µm
clknet_leaf_97_clk_i,218.35µm
net772,218.34µm
net1390,218.29µm
_02615_,217.81µm
net955,217.565µm
net769,217.545µm
net1157,216.64µm
net842,216.32µm
net1453,216.305µm
net342,215.455µm
net1468,214.905µm
net598,214.86µm
net1368,214.65µm
net1163,214.52µm
u_picorv32.pcpi_rs2\[9\],214.445µm
net923,214.325µm
clknet_leaf_72_clk_i,214.21µm
clknet_5_16__leaf_clk_i,214.17µm
u_picorv32.picorv32_core.instr_jalr,213.605µm
u_picorv32.picorv32_core.reg_pc\[14\],213.415µm
_02796_,213.39µm
clknet_5_31__leaf_clk_i,213.075µm
net1166,212.875µm
net881,211.845µm
net863,211.685µm
net1036,211.535µm
net1147,211.295µm
net636,210.355µm
clknet_leaf_81_clk_i,210.355µm
net981,209.975µm
net399,209.93µm
net915,209.805µm
net1222,209.69µm
net634,209.525µm
_05280_,209.41µm
net962,209.28µm
net1264,208.78µm
net1154,208.345µm
net1361,208.075µm
net729,208.01µm
u_picorv32.picorv32_core.decoded_imm\[0\],207.875µm
net892,207.17µm
net1200,207.12µm
net980,206.975µm
net1370,206.705µm
_05896_,206.295µm
net643,206.285µm
net333,206.16µm
net1018,205.995µm
_00030_,205.95µm
net691,205.83µm
net821,205.68µm
net886,205.515µm
clknet_5_18__leaf_clk_i,205.35µm
net1353,205.255µm
net866,205.245µm
net974,204.89µm
clknet_leaf_63_clk_i,204.83µm
clknet_leaf_47_clk_i,204.745µm
net655,204.74µm
u_picorv32.pcpi_rs2\[5\],204.61µm
net949,204.595µm
clknet_5_25__leaf_clk_i,204.53µm
u_picorv32.pcpi_rs2\[4\],203.85µm
net897,203.06µm
net1224,203.03µm
_01420_,202.99µm
clknet_5_15__leaf_clk_i,202.7µm
net1202,202.6µm
net1391,202.285µm
net1377,202.23µm
net1363,202.06µm
_04039_,201.75µm
net360,201.67µm
net914,201.355µm
net1336,201.35µm
u_picorv32.pcpi_rs2\[13\],200.94µm
clknet_leaf_27_clk_i,200.925µm
net1443,200.86µm
_01704_,200.775µm
net404,200.52µm
_01935_,200.375µm
net1457,200.185µm
_02915_,199.99µm
net554,199.9µm
net872,199.785µm
net744,199.65µm
net1239,199.415µm
net1373,199.33µm
_02911_,199.11µm
net685,198.96µm
net870,198.775µm
clknet_leaf_19_clk_i,198.215µm
net1487,198.15µm
u_picorv32.pcpi_rs1\[4\],197.985µm
net841,197.93µm
net415,197.9µm
net324,197.78µm
clknet_leaf_12_clk_i,197.74µm
clknet_5_9__leaf_clk_i,197.73µm
clknet_leaf_92_clk_i,197.7µm
clknet_leaf_128_clk_i,197.38µm
net746,197.235µm
_05405_,197.22µm
u_picorv32.picorv32_core.decoded_imm_j\[5\],196.94µm
net1072,196.88µm
net1104,196.835µm
net607,196.66µm
net288,196.615µm
net818,196.525µm
u_picorv32.picorv32_core.reg_out\[22\],196.435µm
net1048,196.335µm
net957,196.3µm
net1096,196.11µm
net321,195.75µm
net920,195.61µm
net639,195.54µm
net951,195.52µm
net1030,195.51µm
clknet_leaf_126_clk_i,195.24µm
net323,195.02µm
net764,194.935µm
_01775_,194.705µm
