net,length_um
clknet_0_clk_i,1.65988mm
net63,1.26998mm
net64,1.253925mm
net65,1.230375mm
net66,1.226735mm
net67,1.187985mm
net68,1.17649mm
net39,1.16577mm
net40,1.143905mm
net41,1.1158mm
net42,1.100405mm
net43,1.08691mm
net44,1.059185mm
net45,1.05086mm
net46,1.029855mm
net47,1.00036mm
net141,995.265µm
net48,989.255µm
net49,966.5µm
net50,954.865µm
net51,930.05µm
net520,929.635µm
net52,918.19µm
net351,889.695µm
net53,881.24µm
net54,872.61µm
net685,865.49µm
net328,861.51µm
net55,860.87µm
net56,839.355µm
net57,828.875µm
net1377,820.63µm
net455,811.655µm
net315,806.73µm
net58,796.87µm
net325,784.93µm
net60,783.145µm
net467,778.83µm
_03852_,778.685µm
net62,776.56µm
net457,771.785µm
net354,771.62µm
net273,767.495µm
net419,764.64µm
net61,762.51µm
net318,751.185µm
net779,745.915µm
net350,740.825µm
net461,735.59µm
net309,733.535µm
net456,727.735µm
net990,726.25µm
net314,723.79µm
net278,713.99µm
net324,713.965µm
net1224,705.595µm
net448,698.845µm
_00004_,697.94µm
net343,696.255µm
net790,691.685µm
net264,685.025µm
net460,684.855µm
net59,681.53µm
net277,681.38µm
net1402,680.605µm
net422,675.12µm
net683,674.785µm
net466,671.47µm
net420,670.545µm
net348,670.315µm
net262,668.91µm
net271,665.06µm
net70,664.88µm
net333,664.625µm
net1,661.74µm
net304,661.01µm
net424,660.72µm
net261,660.215µm
net425,653.785µm
net764,652.57µm
net323,650.515µm
net451,648.205µm
net312,646.73µm
net427,646.63µm
net449,645.345µm
net91,639.91µm
net423,639.49µm
net310,636.995µm
net1378,636.32µm
net338,635.09µm
net274,634.9µm
net767,633.64µm
net443,633.39µm
net428,632.8µm
net453,631.84µm
net371,630.565µm
net396,629.99µm
net417,627.695µm
net437,627.175µm
net432,625.85µm
net276,623.835µm
net459,623.51µm
net344,622.83µm
net413,622.44µm
net345,621.51µm
net370,618.89µm
net308,616.045µm
net265,615.23µm
net538,613.71µm
net475,612.92µm
net365,610.43µm
net707,608.95µm
net452,606.86µm
net366,606.455µm
net319,605.98µm
net447,605.175µm
net429,605.01µm
net347,603.525µm
net471,601.385µm
net517,599.8µm
net465,599.14µm
net446,598.565µm
net359,597.495µm
net401,595.97µm
net434,593.49µm
net778,592.4µm
net766,592.32µm
_02812_,588.84µm
net355,588.06µm
net454,587.84µm
net270,587.565µm
net342,587.44µm
net353,586.16µm
net375,583.95µm
net313,583.42µm
net1336,583.235µm
net680,582.76µm
net445,582.08µm
net431,581.33µm
net444,580.855µm
net327,580.815µm
clk_i,579.72µm
net436,576.845µm
net670,572.56µm
net908,572.13µm
net317,571.29µm
net349,569.915µm
net341,565.41µm
_02842_,564.97µm
net372,564.08µm
net418,560.85µm
