net,length_um
s_awaddr\[3\],4.069015mm
s_awaddr\[9\],3.907725mm
s_awaddr\[4\],3.88858mm
s_awaddr\[11\],3.8335mm
s_awaddr\[7\],3.810425mm
s_araddr\[3\],3.785885mm
s_awaddr\[10\],3.716565mm
s_wdata\[5\],3.69756mm
s_wdata\[7\],3.64222mm
s_wdata\[10\],3.595045mm
s_araddr\[4\],3.561275mm
s_awaddr\[5\],3.55733mm
s_awaddr\[16\],3.54203mm
s_awaddr\[18\],3.54075mm
s_awaddr\[6\],3.53993mm
s_awaddr\[1\],3.53106mm
s_wdata\[27\],3.52218mm
s_araddr\[9\],3.49287mm
s_wdata\[29\],3.48681mm
s_awaddr\[30\],3.48405mm
s_awaddr\[13\],3.480275mm
s_wstrb\[3\],3.47753mm
s_awaddr\[12\],3.47433mm
s_awaddr\[2\],3.47417mm
s_araddr\[8\],3.469845mm
s_awaddr\[14\],3.46953mm
s_awaddr\[19\],3.466855mm
s_awaddr\[15\],3.46209mm
s_wdata\[14\],3.458455mm
s_araddr\[10\],3.457665mm
s_awaddr\[17\],3.457375mm
s_araddr\[1\],3.448835mm
s_araddr\[11\],3.44618mm
s_araddr\[19\],3.44087mm
s_awaddr\[8\],3.440275mm
s_awaddr\[0\],3.433515mm
s_araddr\[16\],3.43282mm
s_araddr\[18\],3.42874mm
s_araddr\[17\],3.42802mm
s_awaddr\[28\],3.425935mm
s_awaddr\[29\],3.42527mm
s_wdata\[11\],3.41194mm
s_awaddr\[26\],3.41133mm
s_awaddr\[31\],3.40731mm
s_araddr\[14\],3.406335mm
s_wdata\[16\],3.400015mm
s_wdata\[17\],3.39772mm
s_awaddr\[21\],3.39643mm
s_awaddr\[27\],3.38709mm
s_araddr\[5\],3.38675mm
s_awaddr\[20\],3.38373mm
s_araddr\[2\],3.37759mm
s_awaddr\[22\],3.372295mm
s_awaddr\[23\],3.367375mm
s_awaddr\[24\],3.364835mm
s_wdata\[4\],3.35413mm
s_awaddr\[25\],3.349425mm
s_wvalid\[0\],3.343665mm
s_araddr\[30\],3.3367mm
s_araddr\[28\],3.336275mm
s_araddr\[7\],3.32479mm
s_wdata\[19\],3.32207mm
s_araddr\[29\],3.321035mm
s_araddr\[31\],3.32004mm
s_wdata\[1\],3.314695mm
s_wdata\[9\],3.314465mm
s_wdata\[8\],3.31042mm
s_araddr\[12\],3.3081mm
s_araddr\[15\],3.291575mm
s_awvalid\[0\],3.28125mm
s_arvalid\[0\],3.27287mm
s_araddr\[0\],3.272135mm
s_araddr\[13\],3.271055mm
s_wdata\[15\],3.26928mm
s_wdata\[28\],3.251815mm
s_wdata\[24\],3.24575mm
s_wdata\[23\],3.242465mm
s_araddr\[6\],3.220355mm
s_araddr\[20\],3.217175mm
s_wdata\[26\],3.206945mm
s_rready\[0\],3.19007mm
s_wdata\[3\],3.17552mm
s_araddr\[21\],3.17358mm
s_araddr\[24\],3.173375mm
s_wdata\[12\],3.16955mm
s_araddr\[26\],3.152135mm
s_wdata\[0\],3.146135mm
s_wstrb\[2\],3.137805mm
s_wdata\[25\],3.13667mm
s_araddr\[23\],3.13544mm
s_wdata\[21\],3.131255mm
s_araddr\[22\],3.12858mm
s_wdata\[18\],3.128405mm
s_wdata\[20\],3.121715mm
s_wdata\[2\],3.12164mm
s_araddr\[25\],3.12021mm
s_araddr\[27\],3.10617mm
clknet_1_0__leaf_clk_i,3.105055mm
s_wdata\[13\],3.098375mm
s_wstrb\[1\],3.079865mm
s_wdata\[6\],3.078885mm
s_wstrb\[0\],3.072865mm
s_arready\[0\],3.04834mm
s_bready\[0\],3.025005mm
s_rdata\[0\],2.998605mm
s_rdata\[4\],2.97994mm
s_wdata\[22\],2.97681mm
s_rdata\[5\],2.954305mm
s_wdata\[31\],2.948315mm
s_rdata\[20\],2.931185mm
s_awready\[0\],2.911595mm
s_rdata\[1\],2.907735mm
s_wdata\[30\],2.901215mm
s_wready\[0\],2.893975mm
s_rdata\[12\],2.88161mm
s_bresp\[0\],2.878855mm
s_bresp\[1\],2.858675mm
s_bvalid\[0\],2.845235mm
s_rdata\[15\],2.83342mm
s_rdata\[3\],2.74805mm
s_rdata\[2\],2.738555mm
s_rdata\[18\],2.731365mm
s_rdata\[9\],2.7308mm
s_rdata\[23\],2.72554mm
s_rdata\[6\],2.690695mm
s_rdata\[22\],2.67226mm
s_rdata\[25\],2.67046mm
s_rdata\[26\],2.66686mm
s_rdata\[7\],2.6512mm
s_rdata\[8\],2.64425mm
s_rdata\[24\],2.639795mm
s_rresp\[0\],2.62092mm
s_rdata\[10\],2.595565mm
s_rdata\[30\],2.5945mm
s_rdata\[13\],2.590715mm
s_rdata\[16\],2.58665mm
s_rdata\[11\],2.57909mm
s_rdata\[27\],2.56018mm
s_rdata\[28\],2.55946mm
s_rdata\[29\],2.55562mm
cpu_awaddr\[3\],2.549085mm
cpu_awaddr\[9\],2.51716mm
s_rvalid\[0\],2.511285mm
s_rdata\[17\],2.50578mm
s_rdata\[31\],2.49946mm
s_rdata\[14\],2.48417mm
s_rresp\[1\],2.4823mm
s_rdata\[21\],2.471435mm
s_rdata\[19\],2.465575mm
cpu_arready,2.459545mm
cpu_araddr\[3\],2.43574mm
cpu_araddr\[4\],2.412615mm
cpu_awaddr\[4\],2.402215mm
cpu_awaddr\[11\],2.351815mm
cpu_arvalid,2.34197mm
net294,2.30804mm
cpu_awaddr\[7\],2.272635mm
cpu_araddr\[1\],2.25784mm
cpu_araddr\[9\],2.23676mm
cpu_awaddr\[10\],2.232545mm
cpu_araddr\[11\],2.21899mm
cpu_araddr\[10\],2.21191mm
cpu_wdata\[5\],2.19705mm
cpu_araddr\[8\],2.190725mm
cpu_araddr\[14\],2.179455mm
cpu_araddr\[12\],2.172335mm
cpu_araddr\[13\],2.167095mm
cpu_araddr\[17\],2.163015mm
cpu_arprot\[2\],2.15898mm
cpu_araddr\[15\],2.152335mm
cpu_araddr\[19\],2.150535mm
cpu_araddr\[16\],2.147055mm
cpu_araddr\[2\],2.134885mm
cpu_araddr\[18\],2.124495mm
cpu_araddr\[5\],2.11676mm
cpu_awready,2.11103mm
cpu_wdata\[10\],2.1068mm
cpu_awvalid,2.09734mm
cpu_awaddr\[1\],2.089665mm
