2026-09-17 22:31:39 +0530: Memory Usage (422740K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/peripherals/runs/run_5/58-klayout-streamout/peripherals_macro.gds
2026-09-17 22:31:39 +0530: Memory Usage (422740K) : Ruby Version for klayout: 3.3.10
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : Loading database to memory is complete.
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/peripherals/runs/run_5/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : Evaluate switches.
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : tables selected: main
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : deep mode is enabled.
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : FEOL enabled: true
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : BEOL enabled: true
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : OFFGRID enabled: true
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : ANGLE enabled: true
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : PIN enabled: true
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : FORBIDDEN enabled: true
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : RECOMMENDED enabled: false
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : PreCheck DRC enabled: false
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : CONNECTIVITY_RULES enabled: true.
2026-09-17 22:31:39 +0530: Memory Usage (424208K) : Read in polygons from layers.
2026-09-17 22:31:39 +0530: Memory Usage (425404K) : activ_drw has 10963 polygons
2026-09-17 22:31:39 +0530: Memory Usage (425404K) : activ_pin has 0 polygons
2026-09-17 22:31:39 +0530: Memory Usage (425404K) : activ_mask has 0 polygons
2026-09-17 22:31:39 +0530: Memory Usage (425404K) : activ_filler has 0 polygons
2026-09-17 22:31:39 +0530: Memory Usage (425404K) : activ_nofill has 0 polygons
2026-09-17 22:31:39 +0530: Memory Usage (425404K) : activ_opc has 0 polygons
2026-09-17 22:31:39 +0530: Memory Usage (425404K) : activ_iopc has 0 polygons
2026-09-17 22:31:39 +0530: Memory Usage (425404K) : activ_noqrc has 0 polygons
