2026-09-17 14:25:40 +0530: Memory Usage (423036K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_12/58-klayout-streamout/picorv32_macro.gds
2026-09-17 14:25:40 +0530: Memory Usage (423192K) : Ruby Version for klayout: 3.3.10
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : Loading database to memory is complete.
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_12/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : Evaluate switches.
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : tables selected: main
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : deep mode is enabled.
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : FEOL enabled: true
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : BEOL enabled: true
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : OFFGRID enabled: true
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : ANGLE enabled: true
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : PIN enabled: true
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : FORBIDDEN enabled: true
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : RECOMMENDED enabled: false
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : PreCheck DRC enabled: false
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : CONNECTIVITY_RULES enabled: true.
2026-09-17 14:25:40 +0530: Memory Usage (432440K) : Read in polygons from layers.
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : activ_drw has 177620 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : activ_pin has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : activ_mask has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : activ_filler has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : activ_nofill has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : activ_opc has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : activ_iopc has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : activ_noqrc has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : biwind_drw has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : biwind_opc has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : pemwind_drw has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : gatpoly_drw has 173429 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : gatpoly_pin has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : gatpoly_filler has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : gatpoly_nofill has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : gatpoly_opc has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439456K) : gatpoly_iopc has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439712K) : gatpoly_noqrc has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439712K) : cont_drw has 1298597 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439712K) : cont_opc has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439712K) : nsd_drw has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439840K) : nsd_block has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439840K) : metal1_drw has 300264 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439840K) : metal1_pin has 120661 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439840K) : metal1_mask has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439840K) : metal1_filler has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439840K) : metal1_nofill has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (439840K) : metal1_slit has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (440124K) : metal1_text has 119196 polygons
2026-09-17 14:25:40 +0530: Memory Usage (440124K) : metal1_opc has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (440124K) : metal1_noqrc has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (440124K) : metal1_res has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (440124K) : metal1_iprobe has 0 polygons
2026-09-17 14:25:40 +0530: Memory Usage (440124K) : metal1_diffprb has 0 polygons
