net,length_um
rst_ni,8.10302mm
s_araddr\[101\],5.003825mm
s_wdata\[121\],4.96224mm
s_bresp\[6\],4.94448mm
s_bvalid\[3\],4.9392mm
s_bresp\[7\],4.93272mm
s_bready\[3\],4.91748mm
s_araddr\[107\],4.91615mm
s_araddr\[106\],4.91567mm
s_wdata\[100\],4.91527mm
s_araddr\[104\],4.90619mm
s_araddr\[105\],4.87571mm
s_rdata\[102\],4.870625mm
s_wstrb\[13\],4.867595mm
s_awaddr\[124\],4.85544mm
s_wdata\[116\],4.85425mm
s_wvalid\[3\],4.851395mm
s_rdata\[109\],4.851185mm
s_rdata\[96\],4.84475mm
s_wready\[3\],4.84402mm
s_awaddr\[125\],4.8432mm
s_araddr\[102\],4.834025mm
s_araddr\[123\],4.82798mm
s_awaddr\[127\],4.82748mm
s_wstrb\[14\],4.825735mm
s_awaddr\[126\],4.82424mm
s_wdata\[108\],4.82383mm
s_wdata\[96\],4.8102mm
s_wdata\[111\],4.807365mm
s_wdata\[106\],4.805445mm
s_rdata\[115\],4.799945mm
s_wdata\[120\],4.787165mm
s_wdata\[119\],4.783735mm
s_awaddr\[114\],4.7766mm
s_awaddr\[108\],4.7748mm
s_awaddr\[112\],4.77384mm
s_wdata\[97\],4.772425mm
s_awvalid\[3\],4.76918mm
s_rdata\[107\],4.766825mm
s_awready\[3\],4.76398mm
s_rdata\[98\],4.759505mm
s_wdata\[115\],4.758905mm
s_awaddr\[122\],4.7556mm
s_awaddr\[115\],4.75512mm
s_araddr\[99\],4.75331mm
s_wdata\[125\],4.747965mm
s_awaddr\[120\],4.746mm
s_awaddr\[117\],4.74504mm
s_awaddr\[118\],4.7418mm
s_wdata\[118\],4.7256mm
s_rdata\[101\],4.725155mm
s_wstrb\[15\],4.71904mm
s_awaddr\[116\],4.71888mm
s_wdata\[101\],4.715585mm
s_awaddr\[113\],4.70964mm
s_wdata\[123\],4.709545mm
s_rdata\[119\],4.70411mm
s_awaddr\[123\],4.70328mm
s_rdata\[114\],4.70304mm
s_rdata\[117\],4.700305mm
s_wdata\[127\],4.69692mm
s_wdata\[102\],4.694945mm
s_araddr\[121\],4.694105mm
s_awaddr\[119\],4.69152mm
s_awaddr\[121\],4.68552mm
s_wdata\[113\],4.685305mm
s_wdata\[110\],4.679545mm
s_araddr\[100\],4.67853mm
s_araddr\[96\],4.67517mm
s_awaddr\[109\],4.66721mm
s_awaddr\[106\],4.665145mm
s_awaddr\[99\],4.66089mm
s_awaddr\[110\],4.66057mm
s_awaddr\[111\],4.64905mm
s_araddr\[118\],4.647045mm
s_araddr\[117\],4.646195mm
s_wdata\[112\],4.643905mm
s_araddr\[116\],4.641035mm
s_wdata\[103\],4.636705mm
s_awaddr\[105\],4.635535mm
s_rdata\[116\],4.635375mm
s_wdata\[124\],4.631665mm
s_wdata\[122\],4.628665mm
s_wdata\[98\],4.62479mm
s_wdata\[105\],4.620385mm
s_wdata\[109\],4.60617mm
s_araddr\[119\],4.604205mm
s_rvalid\[3\],4.597335mm
s_araddr\[114\],4.59681mm
s_wdata\[104\],4.591585mm
s_araddr\[122\],4.586085mm
s_araddr\[112\],4.58229mm
s_wdata\[107\],4.578025mm
s_araddr\[98\],4.571685mm
s_rdata\[103\],4.569875mm
s_wdata\[126\],4.56766mm
s_araddr\[110\],4.56729mm
s_rdata\[120\],4.563615mm
s_awaddr\[103\],4.560505mm
s_araddr\[120\],4.558965mm
s_araddr\[109\],4.557405mm
s_awaddr\[107\],4.557265mm
s_rdata\[100\],4.554825mm
s_araddr\[97\],4.55228mm
s_awaddr\[104\],4.552085mm
s_araddr\[108\],4.551755mm
s_araddr\[103\],4.549955mm
s_rdata\[106\],4.54807mm
s_rdata\[127\],4.54743mm
s_rdata\[121\],4.543665mm
s_arready\[3\],4.54354mm
s_araddr\[111\],4.543235mm
s_awaddr\[100\],4.540465mm
s_araddr\[127\],4.53981mm
s_araddr\[125\],4.53501mm
s_rdata\[99\],4.53079mm
s_araddr\[113\],4.52589mm
s_wdata\[114\],4.52477mm
s_araddr\[124\],4.52457mm
s_wstrb\[12\],4.523425mm
s_araddr\[115\],4.51593mm
s_rdata\[97\],4.514625mm
s_rdata\[110\],4.51423mm
s_rdata\[108\],4.512915mm
s_araddr\[126\],4.50957mm
