2026-09-16 23:37:55 +0530: Memory Usage (423164K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_8/58-klayout-streamout/picorv32_macro.gds
2026-09-16 23:37:55 +0530: Memory Usage (423164K) : Ruby Version for klayout: 3.3.10
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : Loading database to memory is complete.
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_8/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : Evaluate switches.
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : tables selected: main
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : deep mode is enabled.
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : FEOL enabled: true
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : BEOL enabled: true
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : OFFGRID enabled: true
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : ANGLE enabled: true
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : PIN enabled: true
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : FORBIDDEN enabled: true
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : RECOMMENDED enabled: false
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : PreCheck DRC enabled: false
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : CONNECTIVITY_RULES enabled: true.
2026-09-16 23:37:55 +0530: Memory Usage (432748K) : Read in polygons from layers.
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : activ_drw has 177829 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : activ_pin has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : activ_mask has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : activ_filler has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : activ_nofill has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : activ_opc has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : activ_iopc has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : activ_noqrc has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : biwind_drw has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : biwind_opc has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : pemwind_drw has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : gatpoly_drw has 173385 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : gatpoly_pin has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : gatpoly_filler has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : gatpoly_nofill has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : gatpoly_opc has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : gatpoly_iopc has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : gatpoly_noqrc has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : cont_drw has 1295256 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : cont_opc has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439756K) : nsd_drw has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439884K) : nsd_block has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439884K) : metal1_drw has 299485 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439884K) : metal1_pin has 120724 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439884K) : metal1_mask has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439884K) : metal1_filler has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439884K) : metal1_nofill has 0 polygons
2026-09-16 23:37:55 +0530: Memory Usage (439884K) : metal1_slit has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : metal1_text has 119259 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : metal1_opc has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : metal1_noqrc has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : metal1_res has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : metal1_iprobe has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : metal1_diffprb has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : passiv_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : passiv_pin has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : passiv_sbump has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : passiv_pillar has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (440040K) : passiv_pdl has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_drw has 147390 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_pin has 78 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_mask has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_filler has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_nofill has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_slit has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_text has 78 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_opc has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_noqrc has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_res has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_iprobe has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal2_diffprb has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : baspoly_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : baspoly_pin has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : psd_drw has 82363 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : nldb_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : digibnd_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : via1_drw has 46769 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_pin has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_mask has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_filler has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_nofill has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_slit has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_text has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_opc has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_noqrc has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_res has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_iprobe has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backmetal1_diffprb has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : backpassiv_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : res_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : sram_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : trans_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : ind_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : ind_pin has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : ind_text has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : salblock_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : via2_drw has 47981 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_drw has 75969 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_pin has 73 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_mask has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_filler has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_nofill has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_slit has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_text has 73 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_opc has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_noqrc has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_res has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_iprobe has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : metal3_diffprb has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : nwell_drw has 41110 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : nwell_pin has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : nbulay_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : nbulay_pin has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : nbulay_block has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : emwind_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : emwind_opc has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : deepco_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : deepco_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : mim_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : edgeseal_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : edgeseal_bound has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : substrate_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : substrate_text has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : dfpad_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : dfpad_pillar has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : dfpad_sbump has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : thickgateox_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : pldb_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : pwell_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : pwell_pin has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : pwell_block has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : ic_drw has 0 polygons
2026-09-16 23:37:56 +0530: Memory Usage (442216K) : via3_drw has 13283 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_drw has 10261 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_pin has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_mask has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_filler has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_nofill has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_slit has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_text has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_opc has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_noqrc has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_res has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_iprobe has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal4_diffprb has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : heattrans_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : heatres_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : pempoly_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : fbe_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : empoly_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : ldmos_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : pbiwind_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : digisub_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : nodrc_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : text_drw has 60 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : via4_drw has 9647 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_drw has 6044 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_pin has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_mask has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_filler has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_nofill has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_slit has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_text has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_opc has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_noqrc has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_res has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_iprobe has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : metal5_diffprb has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : radhard_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : memcap_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : varicap_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : flash_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : intbondvia_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : intbondmet_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : devbondvia_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : devbondmet_drw has 0 polygons
2026-09-16 23:37:57 +0530: Memory Usage (442216K) : devtrench_drw has 0 polygons
