2026-09-18 22:17:06 +0530: Memory Usage (422748K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/boot_spi/runs/run_2/58-klayout-streamout/boot_spi_macro.gds
2026-09-18 22:17:06 +0530: Memory Usage (422904K) : Ruby Version for klayout: 3.3.10
2026-09-18 22:17:06 +0530: Memory Usage (424200K) : Loading database to memory is complete.
2026-09-18 22:17:06 +0530: Memory Usage (424200K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/boot_spi/runs/run_2/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : Evaluate switches.
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : tables selected: main
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : deep mode is enabled.
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : FEOL enabled: true
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : BEOL enabled: true
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : OFFGRID enabled: true
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : ANGLE enabled: true
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : PIN enabled: true
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : FORBIDDEN enabled: true
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : RECOMMENDED enabled: false
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : PreCheck DRC enabled: false
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : CONNECTIVITY_RULES enabled: true.
2026-09-18 22:17:06 +0530: Memory Usage (424384K) : Read in polygons from layers.
2026-09-18 22:17:06 +0530: Memory Usage (425552K) : activ_drw has 21005 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425552K) : activ_pin has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425552K) : activ_mask has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425552K) : activ_filler has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425552K) : activ_nofill has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425552K) : activ_opc has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425552K) : activ_iopc has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425552K) : activ_noqrc has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425552K) : biwind_drw has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425808K) : biwind_opc has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425808K) : pemwind_drw has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425808K) : gatpoly_drw has 18343 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425808K) : gatpoly_pin has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425808K) : gatpoly_filler has 0 polygons
2026-09-18 22:17:06 +0530: Memory Usage (425808K) : gatpoly_nofill has 0 polygons
