net,length_um
net205,77.16µm
net667,76.69µm
clknet_4_13_0_clk_i_regs,76.59µm
sram_din\[14\],75.49µm
_136_,75.37µm
sram_din\[5\],74.76µm
net137,74.34µm
sram_din\[6\],74.28µm
net618,74.28µm
net214,74.18µm
net220,73.93µm
net633,73.93µm
_133_,73.715µm
clknet_4_12_0_clk_i_regs,73.555µm
net464,73.5µm
net663,73.45µm
sram_din\[8\],73.38µm
sram_din\[7\],73.33µm
sram_din\[9\],73.27µm
net463,72.85µm
sram_bm\[10\],72.72µm
net639,72.12µm
net665,72.12µm
net247,72.02µm
sram_din\[10\],72µm
net636,71.64µm
net645,71.4µm
net334,71.36µm
net657,71.28µm
net642,71.24µm
net660,70.99µm
net81,70.8µm
net654,70.09µm
net648,69.765µm
net140,69.13µm
net627,68.16µm
delaynet_1_clk_i,67.51µm
net630,67.4µm
wstrb_q\[1\],66.25µm
net651,65µm
clknet_4_9_0_clk_i_regs,64.61µm
net501,63.9µm
net204,63.85µm
clknet_4_14_0_clk_i_regs,63.83µm
_119_,63.055µm
net615,62.76µm
sram_dout\[0\],62.56µm
net597,62.4µm
net82,62.29µm
net609,60.42µm
net210,59.835µm
_257_,59.47µm
net219,58.465µm
_000_,57.91µm
net331,56.88µm
net237,56.695µm
sram_din\[16\],56.64µm
net49,55.81µm
net493,55.29µm
sram_din\[17\],54.85µm
net208,54.5µm
net211,54.295µm
net606,53.73µm
net209,52.99µm
net621,51.315µm
sram_din\[21\],51.24µm
_238_,50.755µm
_015_,49.71µm
net192,49.505µm
net215,49.34µm
net246,48.725µm
sram_din\[23\],48.67µm
net624,47.29µm
_278_,47.22µm
net224,46.375µm
_321_,46.02µm
sram_din\[19\],46.005µm
net216,45.87µm
net426,45.55µm
sram_din\[20\],45.36µm
net383,45.36µm
_294_,45.06µm
net212,44.39µm
net191,44.3µm
sram_din\[24\],44.05µm
_319_,43.03µm
sram_din\[22\],42.97µm
_118_,42.92µm
_295_,42.795µm
net487,42.72µm
_198_,42.49µm
_270_,42.18µm
_337_,41.995µm
sram_din\[25\],41.925µm
sram_din\[26\],41.65µm
net142,41.46µm
net594,41.4µm
net612,41.28µm
_276_,40.695µm
_189_,40.39µm
net115,40.02µm
net516,39.98µm
sram_din\[27\],39.72µm
_338_,39.12µm
